sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step,model_modification,layers_modified,heads_modified
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.003513157367706299,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.022443175315856934,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03543448448181152,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.046112120151519775,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04238855838775635,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05214643478393555,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.004049956798553467,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.019142568111419678,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.043871521949768066,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04576319456100464,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03909653425216675,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04713404178619385,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0020586252212524414,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.010167121887207031,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.046650052070617676,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.030529797077178955,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.028806090354919434,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.02858257293701172,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step4000,4000,ablate_zero,"[2, 2]","[0, 1]"
