Sentence,Dominant vs. Subordinate,Target Word,Context Strength,Related Word 1,Related Word 2,Related Word 3,Related Word 4,Related Word 5
The robber rushed out the door. He came from the bank with both guns blazing.,Dominant,bank,Strong,vault,heist,robbery,getaway,loot
The alligator saw the food. He came from the bank with a quick lunge.,Subordinate,bank,Strong,riverbank,shore,edge,shoreline,riverside
The veterinarian heard the sound. She investigated the bark coming from the kennel.,Dominant,bark,Strong,yelp,howl,growl,woof,whine
The botanist looked for a fungus. She investigated the bark for signs of disease.,Subordinate,bark,Strong,tree bark,wood,trunk,surface,outer layer
The carpenter used a saw. He divided the board to the appropriate length.,Dominant,board,Strong,plank,panel,slab,timber,wood
The chairman started the argument. He divided the board to weaken the vote.,Subordinate,board,Strong,committee,group,council,panel,directors
The archer missed the mark. He straightened the bow and hit the target.,Dominant,bow,Strong,archery bow,longbow,recurve,weapon,arrow
The groomsman looked in the mirror. He straightened the bow before the photo session.,Subordinate,bow,Strong,bow tie,necktie,ribbon,accessory,decoration
The custodian fixed the problem. She inserted the bulb into the empty socket.,Dominant,bulb,Strong,light bulb,lamp,LED,filament,globe
The gardener dug a hole. She inserted the bulb carefully into the soil.,Subordinate,bulb,Strong,seed bulb,tuber,rhizome,corm,root
The navigator dropped the compass. He searched the deck beneath the life boat.,Dominant,deck,Strong,floor,platform,surface,ship,vessel
The gambler wanted an ace. He searched the deck for the marked cards.,Subordinate,deck,Strong,pack,stack,pile,set,collection
The housewife prepared the cookies. She saved the dough that was left over.,Dominant,dough,Strong,batter,mixture,pastry,cookie mix,ingredients
The graduate wanted a car. She saved the dough for the down payment.,Subordinate,dough,Strong,money,cash,savings,funds,earnings
The planter sprayed the crops. He rechecked the field for signs of insects.,Dominant,field,Strong,farmland,area,plot,land,agriculture
The referee miscounted. He rechecked the field for the extra player.,Subordinate,field,Strong,pitch,court,ground,arena,play area
The typist forgot the invoice number. She needed the file to complete the order.,Dominant,file,Strong,document,record,paperwork,folder,archives
The manicurist was not finished. She needed the file to smooth the nail.,Subordinate,file,Strong,emery board,nail file,buffer,sanding tool,grooming
The traveler checked the itinerary. She counted the flights on the departure board.,Dominant,flights,Strong,departures,planes,journeys,schedules,trips
The resident noted the broken elevator. She counted the flights leading to the penthouse.,Subordinate,flights,Strong,stairs,levels,stories,floors,steps
The burglar used a hacksaw. He cut the lock on the outside door.,Dominant,lock,Strong,padlock,latch,bolt,fastener,security
The hippie changed his appearance. He cut the lock that was tightly braided.,Subordinate,lock,Strong,hair,tress,braid,strand,dreadlock
The cat was hunting. She observed the mole running across the yard.,Dominant,mole,Strong,rodent,burrower,small animal,pest,creature
The dermatologist examined the skin. She observed the mole on the lower back.,Subordinate,mole,Strong,blemish,spot,skin lesion,growth,mark
The secretary made the correction. She changed the note indicating the arrival time.,Dominant,note,Strong,memo,message,annotation,reminder,comment
The guitarist adjusted the string. She changed the note to a different pitch.,Subordinate,note,Strong,tone,sound,pitch,key,chord
The stenographer took dictation. He emptied the pen before finishing the document.,Dominant,pen,Strong,ink pen,writing tool,ballpoint,fountain pen,marker
The farmer hated the smell. He emptied the pen before cleaning the barn.,Subordinate,pen,Strong,enclosure,coop,sty,barn,shed
The catcher flashed the signal. He changed the pitch to a curve ball.,Dominant,pitch,Strong,throw,delivery,toss,curveball,fastball
The pianist tuned the instrument. He changed the pitch to match the tone.,Subordinate,pitch,Strong,key,note,sound,frequency,register
The realtor wanted to expand. He developed the plot according to zoning laws.,Dominant,plot,Strong,land,parcel,tract,site,property
The writer changed the setting. He developed the plot to reveal the villain.,Subordinate,plot,Strong,storyline,narrative,scheme,plan,structure
The addict saw the police. He burned the pot to destroy the evidence.,Dominant,pot,Strong,marijuana,cannabis,weed,drug,stash
The husband roasted the chicken. He burned the pot on the back burner.,Subordinate,pot,Strong,pan,saucepan,cooking pot,skillet,casserole
The bride turned down the money. She preferred the present for the new house.,Dominant,present,Strong,gift,offering,token,item,contribution
The woman remembered her childhood. She preferred the present rather than the past.,Subordinate,present,Strong,current time,now,moment,present day,contemporary
The chef prepared the stew. He adjusted the range to a low simmer.,Dominant,range,Strong,stove,cooktop,burner,oven,kitchen appliance
The gunner saw the target. He adjusted the range before firing the cannon.,Subordinate,range,Strong,distance,scope,reach,field,radius
The jeweler followed the instructions. She modified the ring as the customer requested.,Dominant,ring,Strong,band,circle,jewelry,loop,ornament
The nurse hated the alarm clock. She modified the ring to decrease the noise.,Subordinate,ring,Strong,tone,chime,sound,alarm,bell
The miner finished the shift. He wanted a shower to remove the dirt.,Dominant,shower,Strong,bath,rinse,wash,cleaning,bathing
The homesteader needed a good crop. He wanted a shower to moisten the soil.,Subordinate,shower,Strong,rain,downpour,watering,sprinkle,irrigation
The driver went to the garage. She needed a spare to replace the tire.,Dominant,spare,Strong,extra,backup,replacement,additional,reserve
The amateur was in the last frame. She needed a spare to win the tournament.,Subordinate,spare,Strong,strike,second attempt,chance,opportunity,spare shot
The mother prepared the sandwich. She smoothed the spread over the onion roll.,Dominant,spread,Strong,topping,filling,layer,coating,smear
The maid cleaned the house. She smoothed the spread over the guest bed.,Subordinate,spread,Strong,cover,blanket,quilt,comforter,bedspread
The umpire changed the call. He overruled the strike which pleased the batter.,Dominant,strike,Strong,pitch,throw,ball,swing,hit
The governor recommended the compromise. He overruled the strike at the auto factory.,Subordinate,strike,Strong,labor stoppage,protest,walkout,job action,work stoppage
The salesperson rang up the charge. He got the tag off of the coat.,Dominant,tag,Strong,label,price tag,sticker,marker,ticket
The wrestler needed a break. He got the tag before leaving the ring.,Subordinate,tag,Strong,touch,contact,signal,marker,relay
The butler got the jelly. He prepared the toast after making the coffee.,Dominant,toast,Strong,bread,slice,breakfast,toasted bread,food
The best man rehearsed his lines. He prepared the toast at the rehearsal dinner.,Subordinate,toast,Strong,speech,tribute,address,dedication,acknowledgement
The chauffeur backed into the wall. He scratched his trunk and broke the lock.,Dominant,trunk,Strong,car trunk,rear,boot,storage,compartment
The animal felt an itch. He scratched his trunk on a small tree.,Subordinate,trunk,Strong,appendage,snout,proboscis,nose,limb
The skipper returned to dock. He repaired the vessel before continuing the voyage.,Dominant,vessel,Strong,boat,ship,craft,yacht,ferry
The cardiologist found the problem. He repaired the vessel leading to the heart.,Subordinate,vessel,Strong,artery,vein,blood vessel,capillary,conduit
The owner made a decision. He painted the bar during the slow season.,Dominant,bar,Weak,pub,counter,saloon,tavern,bistro
The welder finished the job. He painted the bar with a rust protector.,Subordinate,bar,Weak,rod,beam,metal piece,rail,support
The agent revealed the strategy. He described the bluff to the other officers.,Dominant,bluff,Weak,deception,trick,ruse,feint,stratagem
The scout returned home. He described the bluff to the little children.,Subordinate,bluff,Weak,cliff,hill,promontory,escarpment,elevation
The trucker examined the vehicle. He expected a break in the gas line.,Dominant,break,Weak,rupture,leak,crack,fracture,split
The worker put away his tools. He expected a break after the long shift.,Subordinate,break,Weak,rest,pause,respite,intermission,interval
The teenager listened carefully. He admired the coach for the strategic planning.,Dominant,coach,Weak,trainer,mentor,instructor,guide,leader
The curator saw the restoration. He admired the coach with the velvet interior.,Subordinate,coach,Weak,carriage,buggy,vehicle,wagon,cab
The teenager was proficient. He skipped the course recommended by the advisor.,Dominant,course,Weak,class,lesson,curriculum,program,study
The pro had an appointment. He skipped the course to see the physician.,Subordinate,course,Weak,path,route,track,way,trail
The reporter was well known. He frequented the court to pick up stories.,Dominant,court,Weak,courtroom,tribunal,justice,judiciary,legal place
The tenant liked the neighbors. He frequented the court to talk with friends.,Subordinate,court,Weak,courtyard,plaza,quad,yard,patio
