sentence,word,string,disambiguating_word,Attention,inserted_string,inserted_string_final_token,Attention_inserted_string,Attention_1back,Entropy,Head,Layer,n_params,mpath,revision,step
It was a desperate kind of act.,act,act, desperate,0.0018865371821448207,kind of, of,0.7011696100234985,0.28685134649276733,2.045957326889038,0,0,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.004389849491417408,kind of, of,0.6972388625144958,0.312573105096817,2.045393943786621,1,0,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.2949565649032593,kind of, of,0.25060346722602844,0.2628471553325653,2.0735678672790527,2,0,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.1580454558134079,kind of, of,0.1345662921667099,0.331440269947052,2.0754518508911133,3,0,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.0003123024362139404,kind of, of,0.09856050461530685,0.3508418798446655,2.0179989337921143,0,1,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.05205491557717323,kind of, of,0.3568579852581024,0.334834486246109,2.0731091499328613,1,1,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.09398594498634338,kind of, of,0.07676368951797485,0.30449190735816956,2.067945957183838,2,1,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,2.9753846320090815e-05,kind of, of,0.06318414211273193,0.09334783256053925,2.0564520359039307,3,1,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.358031690120697,kind of, of,0.01138806901872158,0.248992919921875,2.071767807006836,0,2,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.00041627182508818805,kind of, of,0.7023783326148987,0.7068095803260803,2.0452048778533936,1,2,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.13131879270076752,kind of, of,0.14247724413871765,0.2912333607673645,2.077028274536133,2,2,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.06204528361558914,kind of, of,0.06525523215532303,0.19752195477485657,2.0623550415039062,3,2,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.0300494022667408,kind of, of,0.34188807010650635,0.20033584535121918,2.063577651977539,0,3,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.05521819368004799,kind of, of,0.7077378630638123,0.2715578079223633,2.0447018146514893,1,3,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,3.550983862510293e-08,kind of, of,0.00028661752003245056,0.11451895534992218,1.9945563077926636,2,3,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,8.866508096616599e-07,kind of, of,0.0001686359173618257,0.11534383147954941,1.9945868253707886,3,3,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.0009154352592304349,kind of, of,2.813397441059351e-05,0.1429913491010666,1.996084213256836,0,4,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,2.0518932690102853e-13,kind of, of,1.2037128462223396e-14,0.1428571492433548,1.9943008422851562,1,4,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.21531029045581818,kind of, of,0.1809963881969452,0.2376934438943863,2.075176477432251,2,4,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,1.8124110567896423e-07,kind of, of,3.348625642961669e-16,0.20698800683021545,1.9943008422851562,3,4,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,2.908508510022064e-31,kind of, of,0.0,0.1428571492433548,1.9943008422851562,0,5,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,2.9339063730565718e-12,kind of, of,2.3405091198469563e-08,0.1428571492433548,1.9943008422851562,1,5,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,0.030479371547698975,kind of, of,9.308295716436987e-07,0.14347904920578003,2.0076050758361816,2,5,14067712,EleutherAI/pythia-14m,step85000,85000
It was a desperate kind of act.,act,act, desperate,1.0136380186638933e-27,kind of, of,1.57706729918233e-36,0.1428571492433548,1.9943008422851562,3,5,14067712,EleutherAI/pythia-14m,step85000,85000
It was a humane kind of act.,act,act, humane,0.0029552059713751078,kind of, of,0.6944785118103027,0.2636911869049072,2.1666486263275146,0,0,14067712,EleutherAI/pythia-14m,step85000,85000
It was a humane kind of act.,act,act, humane,0.0005393689498305321,kind of, of,0.6935080885887146,0.3050745129585266,2.165670871734619,1,0,14067712,EleutherAI/pythia-14m,step85000,85000
