sentence,word,string,disambiguating_word,Attention,inserted_string,inserted_string_final_token,Attention_inserted_string,Attention_1back,Entropy,Head,Layer,n_params,mpath,revision,step
It was a desperate kind of act.,act,act, desperate,0.001255607232451439,kind of, of,0.7343683242797852,0.26735708117485046,2.0420093536376953,0,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.0024978923611342907,kind of, of,0.6600233912467957,0.342686265707016,2.0489883422851562,1,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.1628100723028183,kind of, of,0.3738692104816437,0.26405584812164307,2.0722784996032715,2,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.3591823875904083,kind of, of,0.12201560288667679,0.34353429079055786,2.072542667388916,3,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.00020642715389840305,kind of, of,0.04055240750312805,0.32674384117126465,2.006232976913452,0,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.04230543226003647,kind of, of,0.3947947323322296,0.3210287094116211,2.0716559886932373,1,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.05631890147924423,kind of, of,0.08015040308237076,0.30181562900543213,2.0673985481262207,2,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,4.588155775309133e-07,kind of, of,0.018524378538131714,0.1269523948431015,2.053661823272705,3,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.40003859996795654,kind of, of,0.009611619636416435,0.27360475063323975,2.069939613342285,0,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.0007453082944266498,kind of, of,0.6780336499214172,0.6757165789604187,2.0482029914855957,1,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.09782041609287262,kind of, of,0.14796200394630432,0.29407548904418945,2.0774197578430176,2,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.06782309710979462,kind of, of,0.07334166020154953,0.19779331982135773,2.065354347229004,3,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.01331381592899561,kind of, of,0.21730084717273712,0.18043801188468933,2.0473427772521973,0,3,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.0006779530085623264,kind of, of,0.0016326904296875,0.09013411402702332,1.9950945377349854,1,3,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,7.711131644327907e-08,kind of, of,0.00021425813611131161,0.09055373817682266,1.9949923753738403,2,3,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,1.0807634254206278e-07,kind of, of,3.773361095227301e-05,0.10841435939073563,1.9943903684616089,3,3,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.01473291590809822,kind of, of,0.0023585634771734476,0.14801928400993347,2.005788803100586,0,4,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,5.326492100721225e-05,kind of, of,7.611554053710279e-08,0.14353975653648376,1.9952834844589233,1,4,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.19831475615501404,kind of, of,0.18952873349189758,0.24384090304374695,2.076956272125244,2,4,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.030205879360437393,kind of, of,1.0913611731666606e-05,0.14305782318115234,2.0011162757873535,3,4,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,4.715212053273132e-13,kind of, of,2.438163323114066e-22,0.1428571492433548,1.9943008422851562,0,5,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,9.47935230108086e-19,kind of, of,4.2932457177020933e-13,0.1428571492433548,1.9943008422851562,1,5,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,0.2689151465892792,kind of, of,0.09078175574541092,0.20131905376911163,2.06892991065979,2,5,14067712,EleutherAI/pythia-14m,step111000,111000
It was a desperate kind of act.,act,act, desperate,2.581239944010605e-10,kind of, of,1.8766017656924455e-13,0.1428571492433548,2.0486795902252197,3,5,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.004384295549243689,kind of, of,0.7242712378501892,0.2577943205833435,2.1635329723358154,0,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.0003639597853180021,kind of, of,0.6483751535415649,0.30609026551246643,2.1696155071258545,1,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.0483996756374836,kind of, of,0.40748468041419983,0.21481245756149292,2.188739776611328,2,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.03365517780184746,kind of, of,0.17838817834854126,0.4018504023551941,2.190950870513916,3,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.0002531699137762189,kind of, of,0.055029429495334625,0.30916911363601685,2.131930112838745,0,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.026310332119464874,kind of, of,0.40721991658210754,0.3090308904647827,2.1887989044189453,1,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.006261821836233139,kind of, of,0.09598488360643387,0.285531222820282,2.1825215816497803,2,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,1.0254397011522087e-06,kind of, of,0.021604463458061218,0.09167147427797318,2.173369884490967,3,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.146770179271698,kind of, of,0.012179349549114704,0.25703877210617065,2.191340446472168,0,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.0003714367630891502,kind of, of,0.6798893213272095,0.708051323890686,2.167804718017578,1,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.07533574104309082,kind of, of,0.1515832096338272,0.26053962111473083,2.1955819129943848,2,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.016236471012234688,kind of, of,0.0556059330701828,0.16444188356399536,2.181840419769287,3,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.013848453760147095,kind of, of,0.1506134420633316,0.15206263959407806,2.164945125579834,0,3,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.058852698653936386,kind of, of,0.012762648053467274,0.14325162768363953,2.1430680751800537,1,3,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.0008312790305353701,kind of, of,0.0011292863637208939,0.07917211949825287,2.1193795204162598,2,3,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.002209554659202695,kind of, of,0.00011926452134503052,0.094839908182621,2.1193687915802,3,3,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,6.848065095255151e-05,kind of, of,0.002971589332446456,0.13413062691688538,2.1303904056549072,0,4,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,1.2083076398994308e-05,kind of, of,8.804232493275777e-05,0.12906648218631744,2.12115478515625,1,4,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.08045821636915207,kind of, of,0.22052843868732452,0.23742526769638062,2.1949658393859863,2,4,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.4384693503379822,kind of, of,0.00017704076890368015,0.18134766817092896,2.141420364379883,3,4,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,5.638758580062131e-07,kind of, of,2.6947486745203916e-19,0.25835973024368286,2.1183393001556396,0,5,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,1.4094330254010856e-05,kind of, of,5.6228837558292e-11,0.1792476773262024,2.118345260620117,1,5,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,0.0006094660493545234,kind of, of,0.014086838811635971,0.255038857460022,2.1306838989257812,2,5,14067712,EleutherAI/pythia-14m,step111000,111000
It was a humane kind of act.,act,act, humane,1.5237574189086445e-05,kind of, of,3.354178049810039e-15,0.24822822213172913,2.130549669265747,3,5,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.0014963749563321471,kind of, of,0.734191358089447,0.31498706340789795,2.04203462600708,0,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,4.0939514292404056e-05,kind of, of,0.6616491079330444,0.3176034390926361,2.048774003982544,1,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.059872839599847794,kind of, of,0.41983848810195923,0.20759998261928558,2.0699100494384766,2,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.2107645720243454,kind of, of,0.15027526021003723,0.3678099811077118,2.0749411582946777,3,0,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.00204337015748024,kind of, of,0.050917621701955795,0.38980382680892944,2.008728265762329,0,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.044516995549201965,kind of, of,0.385040819644928,0.341773122549057,2.071896553039551,1,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.05187381058931351,kind of, of,0.08651883155107498,0.2770678699016571,2.066469192504883,2,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,2.7782859888247913e-06,kind of, of,0.028587525710463524,0.11042080819606781,2.053661346435547,3,1,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.35381972789764404,kind of, of,0.01458195224404335,0.23968127369880676,2.0722007751464844,0,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.0003388697514310479,kind of, of,0.7164173722267151,0.6829351782798767,2.043762683868408,1,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.15244394540786743,kind of, of,0.1365894079208374,0.3049549460411072,2.077850580215454,2,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.048346903175115585,kind of, of,0.06629066914319992,0.1953231394290924,2.0660688877105713,3,2,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.004368950612843037,kind of, of,0.2425297647714615,0.18731717765331268,2.049078941345215,0,3,14067712,EleutherAI/pythia-14m,step111000,111000
It was a magic kind of act.,act,act, magic,0.009175561368465424,kind of, of,0.009615907445549965,0.09611671417951584,1.9990627765655518,1,3,14067712,EleutherAI/pythia-14m,step111000,111000
