sentence,word,string,disambiguating_word,Attention,inserted_string,inserted_string_final_token,Attention_inserted_string,Attention_1back,Entropy,Head,Layer,n_params,mpath,revision,step
It was a desperate kind of act.,act,act, desperate,0.011606383137404919,kind of, of,0.540025532245636,0.30257293581962585,2.061826705932617,0,0,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.006529584061354399,kind of, of,0.4950218200683594,0.35404548048973083,2.065268039703369,1,0,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.0362345427274704,kind of, of,0.287413090467453,0.20765046775341034,2.060454845428467,2,0,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.29547208547592163,kind of, of,0.11020991206169128,0.3145132064819336,2.073601722717285,3,0,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.0006320361280813813,kind of, of,0.14608432352542877,0.37072694301605225,2.0276870727539062,0,1,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.10039864480495453,kind of, of,0.35538992285728455,0.3749696612358093,2.0730321407318115,1,1,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.02660142444074154,kind of, of,0.11399960517883301,0.2755323350429535,2.072112560272217,2,1,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.00043039515730924904,kind of, of,0.17610588669776917,0.06977696716785431,2.0510144233703613,3,1,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.34223392605781555,kind of, of,0.01740805245935917,0.28533050417900085,2.0717477798461914,0,2,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.00014590391947422177,kind of, of,0.7964922189712524,0.692721962928772,2.0327608585357666,1,2,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.11639754474163055,kind of, of,0.12306442111730576,0.27474212646484375,2.0753846168518066,2,2,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.08618851006031036,kind of, of,0.055359743535518646,0.1939774602651596,2.0631566047668457,3,2,14067712,EleutherAI/pythia-14m,step51000,51000
It was a desperate kind of act.,act,act, desperate,0.011308463290333748,kind of, of,0.2292395681142807,0.1843930035829544,2.063483238220215,0,3,14067712,EleutherAI/pythia-14m,step51000,51000
