sentence,word,string,disambiguating_word,Attention,inserted_string,inserted_string_final_token,Attention_inserted_string,Attention_1back,Entropy,Head,Layer,n_params,mpath,revision,step
It was a desperate kind of act.,act,act, desperate,0.030382053926587105,kind of, of,0.28371331095695496,0.2515598237514496,2.069094657897949,0,0,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.09638425707817078,kind of, of,0.13544094562530518,0.3143489360809326,2.0735630989074707,1,0,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.07196865230798721,kind of, of,0.3589307963848114,0.26303160190582275,2.0617942810058594,2,0,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.23127678036689758,kind of, of,0.1141955703496933,0.28476279973983765,2.0735418796539307,3,0,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.004277380649000406,kind of, of,0.22349634766578674,0.39010968804359436,2.0491902828216553,0,1,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.09004329144954681,kind of, of,0.36999428272247314,0.35928308963775635,2.0719690322875977,1,1,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.03619324043393135,kind of, of,0.14896558225154877,0.2869721055030823,2.0747947692871094,2,1,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.0009375156951136887,kind of, of,0.36547529697418213,0.15113279223442078,2.066462993621826,3,1,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.6652712225914001,kind of, of,0.009252429939806461,0.27421480417251587,2.050536632537842,0,2,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.00020818038319703192,kind of, of,0.7975844144821167,0.7020137310028076,2.032611608505249,1,2,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.07429666817188263,kind of, of,0.08193158358335495,0.2695256173610687,2.073680877685547,2,2,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.12030740082263947,kind of, of,0.0518973134458065,0.19922421872615814,2.070396661758423,3,2,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.03813377022743225,kind of, of,0.046913567930459976,0.17201367020606995,2.0672454833984375,0,3,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.17385224997997284,kind of, of,0.018264641985297203,0.2269410789012909,2.073005199432373,1,3,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,1.9611488824011758e-05,kind of, of,0.0020583276636898518,0.11315980553627014,2.027616262435913,2,3,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,3.2221237233898137e-07,kind of, of,9.656192560214549e-05,0.11764419823884964,2.014251947402954,3,3,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.06794396787881851,kind of, of,0.11280841380357742,0.20807920396327972,2.072035551071167,0,4,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.10171187669038773,kind of, of,0.013839446939527988,0.1635812371969223,2.0616941452026367,1,4,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.16069193184375763,kind of, of,0.26502418518066406,0.29404160380363464,2.07668399810791,2,4,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.21462123095989227,kind of, of,0.07083655148744583,0.23991899192333221,2.0772857666015625,3,4,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.0214666910469532,kind of, of,0.005686718504875898,0.14670629799365997,2.0195765495300293,0,5,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.019164882600307465,kind of, of,0.056456275284290314,0.17783118784427643,2.039926767349243,1,5,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.2760566771030426,kind of, of,0.20525209605693817,0.30861982703208923,2.0745553970336914,2,5,14067712,EleutherAI/pythia-14m,step26000,26000
It was a desperate kind of act.,act,act, desperate,0.13384510576725006,kind of, of,0.1452697515487671,0.27206751704216003,2.075453758239746,3,5,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.007048963103443384,kind of, of,0.2927435338497162,0.22455766797065735,2.1867074966430664,0,0,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.007217005826532841,kind of, of,0.15510419011116028,0.24959325790405273,2.1893084049224854,1,0,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.04305480420589447,kind of, of,0.35556766390800476,0.22039927542209625,2.1810972690582275,2,0,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.028174620121717453,kind of, of,0.14348500967025757,0.22906960546970367,2.188493251800537,3,0,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.003059523878619075,kind of, of,0.2147640436887741,0.3978744149208069,2.1667847633361816,0,1,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.01904844492673874,kind of, of,0.41490691900253296,0.323560893535614,2.1870532035827637,1,1,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.02492949366569519,kind of, of,0.1661820411682129,0.2987441420555115,2.1933798789978027,2,1,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,4.50959887530189e-05,kind of, of,0.3388776481151581,0.08755411207675934,2.183814525604248,3,1,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.11455105245113373,kind of, of,0.027782944962382317,0.31975221633911133,2.1897006034851074,0,2,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.00012172104470664635,kind of, of,0.7931845188140869,0.7257142663002014,2.154390811920166,1,2,14067712,EleutherAI/pythia-14m,step26000,26000
It was a humane kind of act.,act,act, humane,0.07400627434253693,kind of, of,0.09482972323894501,0.24645638465881348,2.1939895153045654,2,2,14067712,EleutherAI/pythia-14m,step26000,26000
