sentence,word,string,disambiguating_word,Attention,inserted_string,inserted_string_final_token,Attention_inserted_string,Attention_1back,Entropy,Head,Layer,n_params,mpath,revision,step
It was a desperate kind of act.,act,act, desperate,0.02715984731912613,kind of, of,0.3988264799118042,0.2764893174171448,2.0659079551696777,0,0,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.030543729662895203,kind of, of,0.11775529384613037,0.25056397914886475,2.071810483932495,1,0,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.05918232351541519,kind of, of,0.2010132223367691,0.19474512338638306,2.055295467376709,2,0,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.2971927523612976,kind of, of,0.1145651713013649,0.3476547300815582,2.073603868484497,3,0,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.0006091396789997816,kind of, of,0.11147410422563553,0.3622475564479828,2.023913860321045,0,1,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.07007905840873718,kind of, of,0.4152890145778656,0.36950570344924927,2.07003116607666,1,1,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.029321685433387756,kind of, of,0.1319771409034729,0.2997362017631531,2.074744939804077,2,1,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.000891421630512923,kind of, of,0.3643338680267334,0.09534749388694763,2.065424919128418,3,1,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.46442243456840515,kind of, of,0.01540137268602848,0.3020447790622711,2.0665736198425293,0,2,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.00010316422412870452,kind of, of,0.7776045799255371,0.6983433365821838,2.035484790802002,1,2,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.1107114627957344,kind of, of,0.11028016358613968,0.27331483364105225,2.075758695602417,2,2,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.12760163843631744,kind of, of,0.048909742385149,0.1946040838956833,2.0686798095703125,3,2,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.01798059791326523,kind of, of,0.14896610379219055,0.16525530815124512,2.056546211242676,0,3,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.16189248859882355,kind of, of,0.036277759820222855,0.25745004415512085,2.072384834289551,1,3,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,3.898318936990108e-06,kind of, of,0.002476006979122758,0.12098709493875504,1.995558500289917,2,3,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,7.789233791299921e-08,kind of, of,0.0001538083452032879,0.13870899379253387,1.9944171905517578,3,3,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.12608389556407928,kind of, of,0.1489817500114441,0.20806623995304108,2.073885917663574,0,4,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.0793052464723587,kind of, of,0.02305774576961994,0.17795266211032867,2.051804542541504,1,4,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.22496283054351807,kind of, of,0.2630583643913269,0.2634337246417999,2.07592511177063,2,4,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.29014357924461365,kind of, of,0.03591824695467949,0.21090735495090485,2.075627326965332,3,4,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,3.390621464149923e-11,kind of, of,2.3666843224773304e-12,0.14285743236541748,1.9943008422851562,0,5,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.02014024555683136,kind of, of,0.020952770486474037,0.15082822740077972,2.0251994132995605,1,5,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,0.18724165856838226,kind of, of,0.19400878250598907,0.23011481761932373,2.076094388961792,2,5,14067712,EleutherAI/pythia-14m,step40000,40000
It was a desperate kind of act.,act,act, desperate,2.353052877879236e-05,kind of, of,1.3418384696706198e-06,0.14552909135818481,1.994521975517273,3,5,14067712,EleutherAI/pythia-14m,step40000,40000
It was a humane kind of act.,act,act, humane,0.003909377381205559,kind of, of,0.4149113595485687,0.24149569869041443,2.1832871437072754,0,0,14067712,EleutherAI/pythia-14m,step40000,40000
It was a humane kind of act.,act,act, humane,0.004904791712760925,kind of, of,0.1186504065990448,0.1889791190624237,2.189678192138672,1,0,14067712,EleutherAI/pythia-14m,step40000,40000
