sentence_new,sentence_original,word,construction,class_disambiguating_word,class_ambiguous_word,string,disambiguating_word_new,Attention,Entropy,Head,Layer,n_params,mpath,revision,step
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.04453367367386818,1.5764691829681396,0,0,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.03645500913262367,1.5520658493041992,1,0,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.6207606196403503,1.5809340476989746,2,0,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.7138184309005737,1.5671203136444092,3,0,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.00938979908823967,1.5391392707824707,0,1,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.23881034553050995,1.5944112539291382,1,1,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.07442717999219894,1.5947391986846924,2,1,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,2.904877874243539e-06,1.554250955581665,3,1,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.19023874402046204,1.5848406553268433,0,2,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.10335756093263626,1.5645694732666016,1,2,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.2926225960254669,1.6035215854644775,2,2,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.30102649331092834,1.5849241018295288,3,2,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.010413791052997112,1.5070533752441406,0,3,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.00673950370401144,1.5047675371170044,1,3,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.00018198273028247058,1.5003042221069336,2,3,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.0002994202368427068,1.5003741979599,3,3,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.007936089299619198,1.5620312690734863,0,4,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,4.18997024098644e-06,1.500223994255066,1,4,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.2598690688610077,1.600693702697754,2,4,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.0011819269275292754,1.500921607017517,3,4,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,4.149939490579551e-18,1.5002226829528809,0,5,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,2.86765065027339e-08,1.5002226829528809,1,5,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.14114703238010406,1.5384114980697632,2,5,14067712,EleutherAI/pythia-14m,step127000,127000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,3.956312361053094e-11,1.5002226829528809,3,5,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.011814243160188198,1.7565923929214478,0,0,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.016872968524694443,1.7350409030914307,1,0,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.6427835822105408,1.7613955736160278,2,0,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.5939232110977173,1.7665024995803833,3,0,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.005590804386883974,1.7207391262054443,0,1,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.12730243802070618,1.7720518112182617,1,1,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.015905441716313362,1.7673014402389526,2,1,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,1.4905197076586774e-07,1.7117486000061035,3,1,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.04983549192547798,1.7480838298797607,0,2,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.107327900826931,1.7589361667633057,1,2,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.23683327436447144,1.785167932510376,2,2,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.28986427187919617,1.772745132446289,3,2,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.005380591843277216,1.6986486911773682,0,3,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,4.2447987652849406e-05,1.700770378112793,1,3,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,8.588575838075485e-06,1.6914148330688477,2,3,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,1.6609192243777215e-05,1.691454529762268,3,3,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.0013889617985114455,1.7499037981033325,0,4,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,2.621247396916715e-08,1.6914043426513672,1,4,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.20736047625541687,1.7807910442352295,2,4,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,9.19300020996161e-07,1.6938450336456299,3,4,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,1.5699540534938238e-27,1.6914043426513672,0,5,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,1.9108604980298873e-19,1.6914043426513672,1,5,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.47638124227523804,1.7614734172821045,2,5,14067712,EleutherAI/pythia-14m,step127000,127000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,2.1536344472714616e-29,1.6914043426513672,3,5,14067712,EleutherAI/pythia-14m,step127000,127000
She watched a band. ,It was a jazz band.,band,active,V,N,band, watched,0.015592087991535664,1.7569975852966309,0,0,14067712,EleutherAI/pythia-14m,step127000,127000
She watched a band. ,It was a jazz band.,band,active,V,N,band, watched,0.005892782472074032,1.7332111597061157,1,0,14067712,EleutherAI/pythia-14m,step127000,127000
