sentence_new,sentence_original,word,construction,class_disambiguating_word,class_ambiguous_word,string,disambiguating_word_new,Attention,Entropy,Head,Layer,n_params,mpath,revision,step
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.08494286984205246,1.5938982963562012,0,0,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.22144560515880585,1.593099594116211,1,0,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.7777643203735352,1.5551220178604126,2,0,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.1395309418439865,1.569453239440918,3,0,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.06247223913669586,1.5611482858657837,0,1,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.20863179862499237,1.5804283618927002,1,1,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.12429878860712051,1.6006907224655151,2,1,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.005830456968396902,1.5827867984771729,3,1,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.6261505484580994,1.578955054283142,0,2,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.06049646809697151,1.5344600677490234,1,2,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.28418275713920593,1.6013686656951904,2,2,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.44358474016189575,1.5975818634033203,3,2,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.18497078120708466,1.5716580152511597,0,3,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.251923531293869,1.5867998600006104,1,3,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.004362205974757671,1.5015454292297363,2,3,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.0010062522487714887,1.5005263090133667,3,3,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.19004479050636292,1.593684196472168,0,4,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.06962292641401291,1.5499558448791504,1,4,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.328706294298172,1.597759485244751,2,4,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.20223791897296906,1.5989265441894531,3,4,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.027004452422261238,1.5236142873764038,0,5,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.23008017241954803,1.5805776119232178,1,5,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.3465317189693451,1.5915637016296387,2,5,14067712,EleutherAI/pythia-14m,step21000,21000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.42490583658218384,1.5969988107681274,3,5,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.1540001928806305,1.7787286043167114,0,0,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.020548591390252113,1.760824203491211,1,0,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.8213416934013367,1.733002781867981,2,0,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.3021699786186218,1.7673074007034302,3,0,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.08024578541517258,1.7455755472183228,0,1,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.1903713196516037,1.76124107837677,1,1,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.1672370284795761,1.7821649312973022,2,1,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.0005857893847860396,1.7620911598205566,3,1,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.16745823621749878,1.7756783962249756,0,2,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.04619390517473221,1.7202614545822144,1,2,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.2166854441165924,1.7780743837356567,2,2,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.18259447813034058,1.7789441347122192,3,2,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.04136486351490021,1.7673852443695068,0,3,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.06292162090539932,1.7778363227844238,1,3,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.0019603718537837267,1.7374119758605957,2,3,14067712,EleutherAI/pythia-14m,step21000,21000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.00028860324528068304,1.7138293981552124,3,3,14067712,EleutherAI/pythia-14m,step21000,21000
