sentence_new,sentence_original,word,construction,class_disambiguating_word,class_ambiguous_word,string,disambiguating_word_new,Attention,Entropy,Head,Layer,n_params,mpath,revision,step
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.03137718141078949,1.5962235927581787,0,0,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.023053588345646858,1.5819406509399414,1,0,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.9211132526397705,1.5225133895874023,2,0,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.17118068039417267,1.5885748863220215,3,0,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.02354288287460804,1.5557128190994263,0,1,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.20783177018165588,1.5895144939422607,1,1,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.11858543753623962,1.6020870208740234,2,1,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.0018102143658325076,1.5812350511550903,3,1,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.42317628860473633,1.59309720993042,0,2,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.07728319615125656,1.5522528886795044,1,2,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.3089121878147125,1.602963924407959,2,2,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.3773438632488251,1.5913746356964111,3,2,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.16814982891082764,1.5528573989868164,0,3,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.3711822032928467,1.5841459035873413,1,3,14067712,EleutherAI/pythia-14m,step32000,32000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.009845424443483353,1.503166675567627,2,3,14067712,EleutherAI/pythia-14m,step32000,32000
