sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act,It was an act desperate., desperate act, act desperate,desperate,False,-15.973735809326172,-19.9357852935791,3.9620494842529297,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
It was a humane act.,act,act,It was an act humane., humane act, act humane,humane,False,-20.85197639465332,-22.815448760986328,1.9634723663330078,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
It was a magic act.,act,act,It was an act magic., magic act, act magic,magic,False,-18.6121826171875,-19.77845001220703,1.1662673950195312,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
He had a universal appeal.,appeal,appeal,He had an appeal universal., universal appeal, appeal universal,universal,False,-19.025007247924805,-22.604257583618164,3.5792503356933594,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
He had an undefinable appeal.,appeal,appeal,He had an appeal undefinable., undefinable appeal, appeal undefinable,undefinable,False,-20.395870208740234,-29.963977813720703,9.568107604980469,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
He had a legal appeal.,appeal,appeal,He had an appeal legal., legal appeal, appeal legal,legal,False,-17.089160919189453,-19.592683792114258,2.5035228729248047,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
It was a tense atmosphere.,atmosphere,atmosphere,It was an atmosphere tense., tense atmosphere, atmosphere tense,tense,False,-15.497743606567383,-16.731260299682617,1.2335166931152344,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
It was a hostile atmosphere.,atmosphere,atmosphere,It was an atmosphere hostile., hostile atmosphere, atmosphere hostile,hostile,False,-13.99102783203125,-18.591503143310547,4.600475311279297,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
It was a gaseous atmosphere.,atmosphere,atmosphere,It was an atmosphere gaseous., gaseous atmosphere, atmosphere gaseous,gaseous,False,-16.453380584716797,-20.97020721435547,4.516826629638672,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
It was a gold band.,band,band,It was a band gold., gold band, band gold,gold,True,-15.106066703796387,-21.86492919921875,6.758862495422363,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
It was a rubber band.,band,band,It was a band rubber., rubber band, band rubber,rubber,True,-16.17818832397461,-23.612316131591797,7.4341278076171875,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
It was a jazz band.,band,band,It was a band jazz., jazz band, band jazz,jazz,True,-15.010493278503418,-20.911623001098633,5.901129722595215,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
There was a police barrier.,barrier,barrier,There was a barrier police., police barrier, barrier police,police,True,-20.35466194152832,-21.267045974731445,0.912384033203125,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
There was a concrete barrier.,barrier,barrier,There was a barrier concrete., concrete barrier, barrier concrete,concrete,False,-16.51028823852539,-21.162527084350586,4.652238845825195,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
There was a language barrier.,barrier,barrier,There was a barrier language., language barrier, barrier language,language,True,-16.33086395263672,-23.532670974731445,7.201807022094727,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
He saw a furry bat.,bat,bat,He saw a bat furry., furry bat, bat furry,furry,False,-21.389118194580078,-22.588993072509766,1.1998748779296875,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
He saw a fruit bat.,bat,bat,He saw a bat fruit., fruit bat, bat fruit,fruit,True,-19.883453369140625,-20.620376586914062,0.7369232177734375,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
He saw a wooden bat.,bat,bat,He saw a bat wooden., wooden bat, bat wooden,wooden,False,-16.39870262145996,-22.705411911010742,6.306709289550781,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
He saw the laser beam.,beam,beam,He saw the beam laser., laser beam, beam laser,laser,True,-11.677204132080078,-17.032135009765625,5.354930877685547,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
He saw the bright beam.,beam,beam,He saw the beam bright., bright beam, beam bright,bright,False,-16.27048683166504,-17.18975067138672,0.9192638397216797,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
He saw the wood beam.,beam,beam,He saw the beam wood., wood beam, beam wood,wood,True,-17.371299743652344,-20.920684814453125,3.5493850708007812,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
She had a toy block.,block,block,She had a block toy., toy block, block toy,toy,True,-18.886310577392578,-21.225257873535156,2.338947296142578,14067712,EleutherAI/pythia-14m,step29000,seed3,3,29000
