sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act,It was an act desperate., desperate act, act desperate,desperate,False,-21.886035919189453,-22.073833465576172,0.18779754638671875,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was a humane act.,act,act,It was an act humane., humane act, act humane,humane,False,-33.7504997253418,-33.73326873779297,-0.017230987548828125,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was a magic act.,act,act,It was an act magic., magic act, act magic,magic,False,-22.578208923339844,-22.721179962158203,0.14297103881835938,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He had a universal appeal.,appeal,appeal,He had an appeal universal., universal appeal, appeal universal,universal,False,-20.900535583496094,-20.937850952148438,0.03731536865234375,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He had an undefinable appeal.,appeal,appeal,He had an appeal undefinable., undefinable appeal, appeal undefinable,undefinable,False,-42.37531280517578,-41.22969055175781,-1.1456222534179688,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He had a legal appeal.,appeal,appeal,He had an appeal legal., legal appeal, appeal legal,legal,False,-22.119873046875,-20.595245361328125,-1.524627685546875,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was a tense atmosphere.,atmosphere,atmosphere,It was an atmosphere tense., tense atmosphere, atmosphere tense,tense,False,-20.063804626464844,-20.522933959960938,0.45912933349609375,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was a hostile atmosphere.,atmosphere,atmosphere,It was an atmosphere hostile., hostile atmosphere, atmosphere hostile,hostile,False,-21.714977264404297,-21.9697265625,0.2547492980957031,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was a gaseous atmosphere.,atmosphere,atmosphere,It was an atmosphere gaseous., gaseous atmosphere, atmosphere gaseous,gaseous,False,-20.9130859375,-20.850589752197266,-0.062496185302734375,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was a gold band.,band,band,It was a band gold., gold band, band gold,gold,True,-22.160167694091797,-22.138700485229492,-0.021467208862304688,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was a rubber band.,band,band,It was a band rubber., rubber band, band rubber,rubber,True,-21.63770294189453,-21.27016830444336,-0.3675346374511719,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was a jazz band.,band,band,It was a band jazz., jazz band, band jazz,jazz,True,-21.343271255493164,-20.505760192871094,-0.8375110626220703,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
There was a police barrier.,barrier,barrier,There was a barrier police., police barrier, barrier police,police,True,-22.062170028686523,-22.744342803955078,0.6821727752685547,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
There was a concrete barrier.,barrier,barrier,There was a barrier concrete., concrete barrier, barrier concrete,concrete,False,-22.624004364013672,-22.70024871826172,0.07624435424804688,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
There was a language barrier.,barrier,barrier,There was a barrier language., language barrier, barrier language,language,True,-22.062952041625977,-22.426631927490234,0.3636798858642578,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He saw a furry bat.,bat,bat,He saw a bat furry., furry bat, bat furry,furry,False,-33.73258590698242,-32.97523498535156,-0.7573509216308594,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He saw a fruit bat.,bat,bat,He saw a bat fruit., fruit bat, bat fruit,fruit,True,-22.10818099975586,-21.34002113342285,-0.7681598663330078,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He saw a wooden bat.,bat,bat,He saw a bat wooden., wooden bat, bat wooden,wooden,False,-21.965980529785156,-21.987136840820312,0.02115631103515625,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He saw the laser beam.,beam,beam,He saw the beam laser., laser beam, beam laser,laser,True,-22.984283447265625,-21.95062255859375,-1.033660888671875,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He saw the bright beam.,beam,beam,He saw the beam bright., bright beam, beam bright,bright,False,-22.118671417236328,-22.266414642333984,0.14774322509765625,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He saw the wood beam.,beam,beam,He saw the beam wood., wood beam, beam wood,wood,True,-23.204280853271484,-22.851314544677734,-0.35296630859375,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
She had a toy block.,block,block,She had a block toy., toy block, block toy,toy,True,-21.33977508544922,-22.221712112426758,0.8819370269775391,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
She had a wooden block.,block,block,She had a block wooden., wooden block, block wooden,wooden,False,-22.060073852539062,-22.446117401123047,0.3860435485839844,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
She had a mental block.,block,block,She had a block mental., mental block, block mental,mental,False,-22.636629104614258,-22.97231101989746,0.3356819152832031,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He has coagulated blood.,blood,blood,He has blood coagulated., coagulated blood, blood coagulated,coagulated,True,-44.402244567871094,-44.009979248046875,-0.39226531982421875,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He has thin blood.,blood,blood,He has blood thin., thin blood, blood thin,thin,False,-22.932540893554688,-22.52000617980957,-0.4125347137451172,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He has noble blood.,blood,blood,He has blood noble., noble blood, blood noble,noble,False,-22.235431671142578,-21.965354919433594,-0.2700767517089844,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was the ironing board.,board,board,It was the board ironing., ironing board, board ironing,ironing,False,-34.72553253173828,-34.3002815246582,-0.4252510070800781,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was the wooden board.,board,board,It was the board wooden., wooden board, board wooden,wooden,False,-23.264419555664062,-23.39504623413086,0.13062667846679688,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
It was the executive board.,board,board,It was the board executive., executive board, board executive,executive,True,-22.717334747314453,-22.485816955566406,-0.23151779174804688,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He had a best-selling book.,book,book,He had a book best-selling., best-selling book, book best-selling,best-selling,False,-41.66619873046875,-41.718048095703125,0.051849365234375,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He had a popular book.,book,book,He had a book popular., popular book, book popular,popular,False,-22.241188049316406,-22.739593505859375,0.49840545654296875,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
He had a heavy book.,book,book,He had a book heavy., heavy book, book heavy,heavy,False,-20.822216033935547,-21.249774932861328,0.42755889892578125,14067712,EleutherAI/pythia-14m,step64,seed3,3,64
