sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act,It was an act desperate., desperate act, act desperate,desperate,False,-15.291531562805176,-18.541418075561523,3.2498865127563477,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
It was a humane act.,act,act,It was an act humane., humane act, act humane,humane,False,-22.08833122253418,-20.824371337890625,-1.2639598846435547,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
It was a magic act.,act,act,It was an act magic., magic act, act magic,magic,False,-16.433612823486328,-18.802282333374023,2.3686695098876953,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
He had a universal appeal.,appeal,appeal,He had an appeal universal., universal appeal, appeal universal,universal,False,-19.685819625854492,-22.125873565673828,2.440053939819336,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
He had an undefinable appeal.,appeal,appeal,He had an appeal undefinable., undefinable appeal, appeal undefinable,undefinable,False,-26.754501342773438,-32.011619567871094,5.257118225097656,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
He had a legal appeal.,appeal,appeal,He had an appeal legal., legal appeal, appeal legal,legal,False,-17.131271362304688,-18.136035919189453,1.0047645568847656,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
It was a tense atmosphere.,atmosphere,atmosphere,It was an atmosphere tense., tense atmosphere, atmosphere tense,tense,False,-15.968048095703125,-17.88306427001953,1.9150161743164062,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
It was a hostile atmosphere.,atmosphere,atmosphere,It was an atmosphere hostile., hostile atmosphere, atmosphere hostile,hostile,False,-14.771739959716797,-18.337745666503906,3.5660057067871094,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
It was a gaseous atmosphere.,atmosphere,atmosphere,It was an atmosphere gaseous., gaseous atmosphere, atmosphere gaseous,gaseous,False,-16.35651397705078,-19.384681701660156,3.028167724609375,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
It was a gold band.,band,band,It was a band gold., gold band, band gold,gold,True,-15.124698638916016,-18.585792541503906,3.4610939025878906,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
It was a rubber band.,band,band,It was a band rubber., rubber band, band rubber,rubber,True,-15.258257865905762,-22.790687561035156,7.5324296951293945,14067712,EleutherAI/pythia-14m,step78000,seed8,8,78000
