sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act,It was an act desperate., desperate act, act desperate,desperate,False,-15.206584930419922,-23.689022064208984,8.482437133789062,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a humane act.,act,act,It was an act humane., humane act, act humane,humane,False,-19.00446319580078,-21.57784652709961,2.573383331298828,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a magic act.,act,act,It was an act magic., magic act, act magic,magic,False,-15.602710723876953,-21.983577728271484,6.380867004394531,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He had a universal appeal.,appeal,appeal,He had an appeal universal., universal appeal, appeal universal,universal,False,-19.53287696838379,-24.53106117248535,4.9981842041015625,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He had an undefinable appeal.,appeal,appeal,He had an appeal undefinable., undefinable appeal, appeal undefinable,undefinable,False,-25.91967010498047,-30.59552764892578,4.6758575439453125,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He had a legal appeal.,appeal,appeal,He had an appeal legal., legal appeal, appeal legal,legal,False,-15.20551872253418,-19.70701026916504,4.501491546630859,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a tense atmosphere.,atmosphere,atmosphere,It was an atmosphere tense., tense atmosphere, atmosphere tense,tense,False,-17.694456100463867,-22.28278923034668,4.5883331298828125,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a hostile atmosphere.,atmosphere,atmosphere,It was an atmosphere hostile., hostile atmosphere, atmosphere hostile,hostile,False,-18.578567504882812,-23.764360427856445,5.185792922973633,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a gaseous atmosphere.,atmosphere,atmosphere,It was an atmosphere gaseous., gaseous atmosphere, atmosphere gaseous,gaseous,False,-19.642118453979492,-26.57170867919922,6.929590225219727,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a gold band.,band,band,It was a band gold., gold band, band gold,gold,True,-15.852262496948242,-21.17315101623535,5.320888519287109,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a rubber band.,band,band,It was a band rubber., rubber band, band rubber,rubber,True,-15.316788673400879,-22.702796936035156,7.386008262634277,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a jazz band.,band,band,It was a band jazz., jazz band, band jazz,jazz,True,-15.99124813079834,-20.420148849487305,4.428900718688965,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
There was a police barrier.,barrier,barrier,There was a barrier police., police barrier, barrier police,police,True,-19.537456512451172,-20.624252319335938,1.0867958068847656,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
There was a concrete barrier.,barrier,barrier,There was a barrier concrete., concrete barrier, barrier concrete,concrete,False,-14.915754318237305,-21.950946807861328,7.035192489624023,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
There was a language barrier.,barrier,barrier,There was a barrier language., language barrier, barrier language,language,True,-21.466705322265625,-22.885095596313477,1.4183902740478516,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He saw a furry bat.,bat,bat,He saw a bat furry., furry bat, bat furry,furry,False,-20.673784255981445,-21.0685977935791,0.39481353759765625,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He saw a fruit bat.,bat,bat,He saw a bat fruit., fruit bat, bat fruit,fruit,True,-18.26866912841797,-21.251937866210938,2.9832687377929688,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He saw a wooden bat.,bat,bat,He saw a bat wooden., wooden bat, bat wooden,wooden,False,-15.976754188537598,-23.49148941040039,7.514735221862793,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He saw the laser beam.,beam,beam,He saw the beam laser., laser beam, beam laser,laser,True,-13.56472110748291,-19.1445369720459,5.579815864562988,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He saw the bright beam.,beam,beam,He saw the beam bright., bright beam, beam bright,bright,False,-19.256624221801758,-19.845088958740234,0.5884647369384766,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He saw the wood beam.,beam,beam,He saw the beam wood., wood beam, beam wood,wood,True,-18.04401969909668,-21.56878089904785,3.524761199951172,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
She had a toy block.,block,block,She had a block toy., toy block, block toy,toy,True,-16.81934356689453,-23.065427780151367,6.246084213256836,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
She had a wooden block.,block,block,She had a block wooden., wooden block, block wooden,wooden,False,-15.607933044433594,-22.403518676757812,6.795585632324219,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
She had a mental block.,block,block,She had a block mental., mental block, block mental,mental,False,-14.679064750671387,-23.97705078125,9.297986030578613,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He has coagulated blood.,blood,blood,He has blood coagulated., coagulated blood, blood coagulated,coagulated,True,-32.156700134277344,-34.52906799316406,2.3723678588867188,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He has thin blood.,blood,blood,He has blood thin., thin blood, blood thin,thin,False,-19.492292404174805,-24.177143096923828,4.684850692749023,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He has noble blood.,blood,blood,He has blood noble., noble blood, blood noble,noble,False,-21.483047485351562,-31.651416778564453,10.16836929321289,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was the ironing board.,board,board,It was the board ironing., ironing board, board ironing,ironing,False,-24.226531982421875,-26.09491729736328,1.8683853149414062,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was the wooden board.,board,board,It was the board wooden., wooden board, board wooden,wooden,False,-15.641515731811523,-22.43548583984375,6.793970108032227,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was the executive board.,board,board,It was the board executive., executive board, board executive,executive,True,-15.996429443359375,-18.997699737548828,3.001270294189453,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He had a best-selling book.,book,book,He had a book best-selling., best-selling book, book best-selling,best-selling,False,-16.788551330566406,-21.445693969726562,4.657142639160156,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He had a popular book.,book,book,He had a book popular., popular book, book popular,popular,False,-14.710570335388184,-18.49580192565918,3.785231590270996,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
He had a heavy book.,book,book,He had a book heavy., heavy book, book heavy,heavy,False,-15.237675666809082,-19.45977020263672,4.222094535827637,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
They ate a pancake breakfast.,breakfast,breakfast,They ate a breakfast pancake., pancake breakfast, breakfast pancake,pancake,True,-15.19853401184082,-15.585897445678711,0.3873634338378906,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
They ate a nutritious breakfast.,breakfast,breakfast,They ate a breakfast nutritious., nutritious breakfast, breakfast nutritious,nutritious,False,-22.097339630126953,-24.39681625366211,2.2994766235351562,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
They ate a family breakfast.,breakfast,breakfast,They ate a breakfast family., family breakfast, breakfast family,family,True,-11.984174728393555,-15.1482515335083,3.164076805114746,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a red cape.,cape,cape,It was a cape red., red cape, cape red,red,False,-19.068193435668945,-22.183155059814453,3.114961624145508,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
It was a flowing cape.,cape,cape,It was a cape flowing., flowing cape, cape flowing,flowing,False,-22.98524284362793,-23.74115753173828,0.7559146881103516,14067712,EleutherAI/pythia-14m,step52000,seed4,4,52000
