sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act,It was an act desperate., desperate act, act desperate,desperate,False,-15.812721252441406,-18.276655197143555,2.4639339447021484,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
It was a humane act.,act,act,It was an act humane., humane act, act humane,humane,False,-18.84122085571289,-19.77783203125,0.9366111755371094,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
It was a magic act.,act,act,It was an act magic., magic act, act magic,magic,False,-17.357423782348633,-18.404460906982422,1.047037124633789,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
He had a universal appeal.,appeal,appeal,He had an appeal universal., universal appeal, appeal universal,universal,False,-19.86400604248047,-22.646543502807617,2.7825374603271484,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
He had an undefinable appeal.,appeal,appeal,He had an appeal undefinable., undefinable appeal, appeal undefinable,undefinable,False,-26.994192123413086,-28.480318069458008,1.4861259460449219,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
He had a legal appeal.,appeal,appeal,He had an appeal legal., legal appeal, appeal legal,legal,False,-16.035663604736328,-17.58257293701172,1.5469093322753906,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
It was a tense atmosphere.,atmosphere,atmosphere,It was an atmosphere tense., tense atmosphere, atmosphere tense,tense,False,-17.437583923339844,-18.50138282775879,1.0637989044189453,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
It was a hostile atmosphere.,atmosphere,atmosphere,It was an atmosphere hostile., hostile atmosphere, atmosphere hostile,hostile,False,-16.959827423095703,-18.970827102661133,2.0109996795654297,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
It was a gaseous atmosphere.,atmosphere,atmosphere,It was an atmosphere gaseous., gaseous atmosphere, atmosphere gaseous,gaseous,False,-16.967510223388672,-19.183835983276367,2.2163257598876953,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
It was a gold band.,band,band,It was a band gold., gold band, band gold,gold,True,-14.489639282226562,-21.46147918701172,6.971839904785156,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
It was a rubber band.,band,band,It was a band rubber., rubber band, band rubber,rubber,True,-13.493364334106445,-22.287691116333008,8.794326782226562,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
It was a jazz band.,band,band,It was a band jazz., jazz band, band jazz,jazz,True,-14.398597717285156,-21.696361541748047,7.297763824462891,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
There was a police barrier.,barrier,barrier,There was a barrier police., police barrier, barrier police,police,True,-20.483007431030273,-19.710350036621094,-0.7726573944091797,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
There was a concrete barrier.,barrier,barrier,There was a barrier concrete., concrete barrier, barrier concrete,concrete,False,-16.039897918701172,-22.92583465576172,6.885936737060547,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
There was a language barrier.,barrier,barrier,There was a barrier language., language barrier, barrier language,language,True,-17.99880027770996,-22.678573608398438,4.679773330688477,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
He saw a furry bat.,bat,bat,He saw a bat furry., furry bat, bat furry,furry,False,-21.100685119628906,-22.518043518066406,1.4173583984375,14067712,EleutherAI/pythia-14m,step11000,seed3,3,11000
