sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act,It was an act desperate., desperate act, act desperate,desperate,False,-14.167232513427734,-19.199766159057617,5.032533645629883,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
It was a humane act.,act,act,It was an act humane., humane act, act humane,humane,False,-20.415653228759766,-23.031105041503906,2.6154518127441406,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
It was a magic act.,act,act,It was an act magic., magic act, act magic,magic,False,-15.672433853149414,-18.542736053466797,2.870302200317383,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
He had a universal appeal.,appeal,appeal,He had an appeal universal., universal appeal, appeal universal,universal,False,-18.76091957092285,-21.180349349975586,2.4194297790527344,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
He had an undefinable appeal.,appeal,appeal,He had an appeal undefinable., undefinable appeal, appeal undefinable,undefinable,False,-20.966053009033203,-24.57233238220215,3.6062793731689453,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
He had a legal appeal.,appeal,appeal,He had an appeal legal., legal appeal, appeal legal,legal,False,-15.498746871948242,-17.625804901123047,2.1270580291748047,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
It was a tense atmosphere.,atmosphere,atmosphere,It was an atmosphere tense., tense atmosphere, atmosphere tense,tense,False,-16.309226989746094,-22.19229507446289,5.883068084716797,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
It was a hostile atmosphere.,atmosphere,atmosphere,It was an atmosphere hostile., hostile atmosphere, atmosphere hostile,hostile,False,-16.72847557067871,-19.96306610107422,3.234590530395508,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
It was a gaseous atmosphere.,atmosphere,atmosphere,It was an atmosphere gaseous., gaseous atmosphere, atmosphere gaseous,gaseous,False,-19.287364959716797,-23.80875015258789,4.521385192871094,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
It was a gold band.,band,band,It was a band gold., gold band, band gold,gold,True,-14.496628761291504,-18.84969711303711,4.3530683517456055,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
It was a rubber band.,band,band,It was a band rubber., rubber band, band rubber,rubber,True,-13.962493896484375,-21.52520751953125,7.562713623046875,14067712,EleutherAI/pythia-14m,step49000,seed5,5,49000
