sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act,It was an act desperate., desperate act, act desperate,desperate,False,-22.63640594482422,-22.89102554321289,0.2546195983886719,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a humane act.,act,act,It was an act humane., humane act, act humane,humane,False,-32.548927307128906,-31.976581573486328,-0.5723457336425781,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a magic act.,act,act,It was an act magic., magic act, act magic,magic,False,-22.589405059814453,-22.100467681884766,-0.4889373779296875,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He had a universal appeal.,appeal,appeal,He had an appeal universal., universal appeal, appeal universal,universal,False,-22.909595489501953,-23.306110382080078,0.396514892578125,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He had an undefinable appeal.,appeal,appeal,He had an appeal undefinable., undefinable appeal, appeal undefinable,undefinable,False,-42.088768005371094,-42.446903228759766,0.3581352233886719,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He had a legal appeal.,appeal,appeal,He had an appeal legal., legal appeal, appeal legal,legal,False,-20.50702476501465,-22.011598587036133,1.5045738220214844,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a tense atmosphere.,atmosphere,atmosphere,It was an atmosphere tense., tense atmosphere, atmosphere tense,tense,False,-21.359298706054688,-21.010452270507812,-0.348846435546875,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a hostile atmosphere.,atmosphere,atmosphere,It was an atmosphere hostile., hostile atmosphere, atmosphere hostile,hostile,False,-21.209232330322266,-20.430469512939453,-0.7787628173828125,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a gaseous atmosphere.,atmosphere,atmosphere,It was an atmosphere gaseous., gaseous atmosphere, atmosphere gaseous,gaseous,False,-21.950511932373047,-21.004581451416016,-0.9459304809570312,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a gold band.,band,band,It was a band gold., gold band, band gold,gold,True,-23.240703582763672,-23.294864654541016,0.05416107177734375,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a rubber band.,band,band,It was a band rubber., rubber band, band rubber,rubber,True,-22.512714385986328,-22.359825134277344,-0.15288925170898438,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a jazz band.,band,band,It was a band jazz., jazz band, band jazz,jazz,True,-23.48949432373047,-21.795040130615234,-1.6944541931152344,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
There was a police barrier.,barrier,barrier,There was a barrier police., police barrier, barrier police,police,True,-21.749832153320312,-21.40424919128418,-0.3455829620361328,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
There was a concrete barrier.,barrier,barrier,There was a barrier concrete., concrete barrier, barrier concrete,concrete,False,-22.391578674316406,-23.676090240478516,1.2845115661621094,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
There was a language barrier.,barrier,barrier,There was a barrier language., language barrier, barrier language,language,True,-22.972103118896484,-22.155685424804688,-0.8164176940917969,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He saw a furry bat.,bat,bat,He saw a bat furry., furry bat, bat furry,furry,False,-33.918968200683594,-33.74654006958008,-0.17242813110351562,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He saw a fruit bat.,bat,bat,He saw a bat fruit., fruit bat, bat fruit,fruit,True,-22.719881057739258,-21.347030639648438,-1.3728504180908203,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He saw a wooden bat.,bat,bat,He saw a bat wooden., wooden bat, bat wooden,wooden,False,-21.965124130249023,-21.865829467773438,-0.09929466247558594,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He saw the laser beam.,beam,beam,He saw the beam laser., laser beam, beam laser,laser,True,-20.581951141357422,-21.26200294494629,0.6800518035888672,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He saw the bright beam.,beam,beam,He saw the beam bright., bright beam, beam bright,bright,False,-21.4657039642334,-21.526412963867188,0.06070899963378906,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He saw the wood beam.,beam,beam,He saw the beam wood., wood beam, beam wood,wood,True,-21.546527862548828,-20.482166290283203,-1.064361572265625,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
She had a toy block.,block,block,She had a block toy., toy block, block toy,toy,True,-20.74323272705078,-20.5252685546875,-0.21796417236328125,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
She had a wooden block.,block,block,She had a block wooden., wooden block, block wooden,wooden,False,-22.176342010498047,-21.20695686340332,-0.9693851470947266,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
She had a mental block.,block,block,She had a block mental., mental block, block mental,mental,False,-20.7376766204834,-21.666561126708984,0.9288845062255859,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He has coagulated blood.,blood,blood,He has blood coagulated., coagulated blood, blood coagulated,coagulated,True,-46.81797790527344,-46.646400451660156,-0.17157745361328125,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He has thin blood.,blood,blood,He has blood thin., thin blood, blood thin,thin,False,-20.913297653198242,-21.56053924560547,0.6472415924072266,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He has noble blood.,blood,blood,He has blood noble., noble blood, blood noble,noble,False,-21.07811737060547,-21.572036743164062,0.49391937255859375,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was the ironing board.,board,board,It was the board ironing., ironing board, board ironing,ironing,False,-33.288665771484375,-32.34354019165039,-0.9451255798339844,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was the wooden board.,board,board,It was the board wooden., wooden board, board wooden,wooden,False,-20.58560562133789,-19.973575592041016,-0.612030029296875,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was the executive board.,board,board,It was the board executive., executive board, board executive,executive,True,-23.01728057861328,-22.038394927978516,-0.9788856506347656,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He had a best-selling book.,book,book,He had a book best-selling., best-selling book, book best-selling,best-selling,False,-44.287513732910156,-44.46950149536133,0.18198776245117188,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He had a popular book.,book,book,He had a book popular., popular book, book popular,popular,False,-23.773197174072266,-22.574708938598633,-1.1984882354736328,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He had a heavy book.,book,book,He had a book heavy., heavy book, book heavy,heavy,False,-22.745948791503906,-22.470027923583984,-0.2759208679199219,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
They ate a pancake breakfast.,breakfast,breakfast,They ate a breakfast pancake., pancake breakfast, breakfast pancake,pancake,True,-32.29962921142578,-31.15323257446289,-1.1463966369628906,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
They ate a nutritious breakfast.,breakfast,breakfast,They ate a breakfast nutritious., nutritious breakfast, breakfast nutritious,nutritious,False,-44.60869216918945,-43.93028259277344,-0.6784095764160156,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
They ate a family breakfast.,breakfast,breakfast,They ate a breakfast family., family breakfast, breakfast family,family,True,-21.652746200561523,-21.526275634765625,-0.12647056579589844,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a red cape.,cape,cape,It was a cape red., red cape, cape red,red,False,-35.663150787353516,-35.3636474609375,-0.2995033264160156,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a flowing cape.,cape,cape,It was a cape flowing., flowing cape, cape flowing,flowing,False,-35.07555389404297,-35.64344024658203,0.5678863525390625,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a rocky cape.,cape,cape,It was a cape rocky., rocky cape, cape rocky,rocky,False,-33.122535705566406,-34.344825744628906,1.2222900390625,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a beer case.,case,case,It was a case beer., beer case, case beer,beer,True,-21.524036407470703,-21.721790313720703,0.19775390625,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a display case.,case,case,It was a case display., display case, case display,display,True,-22.76715087890625,-22.489116668701172,-0.2780342102050781,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a divorce case.,case,case,It was a case divorce., divorce case, case divorce,divorce,True,-23.431964874267578,-21.836702346801758,-1.5952625274658203,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a worthy cause.,cause,cause,It was a cause worthy., worthy cause, cause worthy,worthy,False,-21.583271026611328,-23.405197143554688,1.8219261169433594,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a political cause.,cause,cause,It was a cause political., political cause, cause political,political,False,-22.973438262939453,-23.83246421813965,0.8590259552001953,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a main cause.,cause,cause,It was a cause main., main cause, cause main,main,False,-23.61823272705078,-23.185256958007812,-0.43297576904296875,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a skin cell.,cell,cell,It was a cell skin., skin cell, cell skin,skin,True,-22.677345275878906,-20.87999153137207,-1.797353744506836,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a brain cell.,cell,cell,It was a cell brain., brain cell, cell brain,brain,True,-21.849166870117188,-21.792320251464844,-0.05684661865234375,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a prison cell.,cell,cell,It was a cell prison., prison cell, cell prison,prison,True,-21.5179500579834,-22.17313003540039,0.6551799774169922,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
She had a devilish charm.,charm,charm,She had a charm devilish., devilish charm, charm devilish,devilish,False,-32.17695999145508,-32.30301284790039,0.1260528564453125,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
She had a natural charm.,charm,charm,She had a charm natural., natural charm, charm natural,natural,False,-21.927566528320312,-21.742992401123047,-0.18457412719726562,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
She had a gold charm.,charm,charm,She had a charm gold., gold charm, charm gold,gold,True,-22.099477767944336,-22.221717834472656,0.12224006652832031,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
They liked the juicy chicken.,chicken,chicken,They liked the chicken juicy., juicy chicken, chicken juicy,juicy,False,-33.507545471191406,-33.42763137817383,-0.07991409301757812,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
They liked the roasted chicken.,chicken,chicken,They liked the chicken roasted., roasted chicken, chicken roasted,roasted,False,-21.804258346557617,-22.271377563476562,0.4671192169189453,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
They liked the clucking chicken.,chicken,chicken,They liked the chicken clucking., clucking chicken, chicken clucking,clucking,True,-34.846622467041016,-33.26923370361328,-1.5773887634277344,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a perceptive class.,class,class,It was a class perceptive., perceptive class, class perceptive,perceptive,False,-33.721065521240234,-32.61595153808594,-1.1051139831542969,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a misbehaving class.,class,class,It was a class misbehaving., misbehaving class, class misbehaving,misbehaving,False,-45.677398681640625,-44.63521194458008,-1.0421867370605469,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a boring class.,class,class,It was a class boring., boring class, class boring,boring,False,-22.501453399658203,-23.04193878173828,0.5404853820800781,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a film clip.,clip,clip,It was a clip film., film clip, clip film,film,True,-22.60110855102539,-22.300888061523438,-0.3002204895019531,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a video clip.,clip,clip,It was a clip video., video clip, clip video,video,True,-20.866703033447266,-22.187721252441406,1.3210182189941406,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a hair clip.,clip,clip,It was a clip hair., hair clip, clip hair,hair,True,-22.68553924560547,-22.137598037719727,-0.5479412078857422,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was an icy cold.,cold,cold,It was an cold icy., icy cold, cold icy,icy,False,-21.501846313476562,-21.099365234375,-0.4024810791015625,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a freezing cold.,cold,cold,It was a cold freezing., freezing cold, cold freezing,freezing,False,-21.111347198486328,-20.168109893798828,-0.9432373046875,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a chest cold.,cold,cold,It was a cold chest., chest cold, cold chest,chest,False,-23.900527954101562,-21.29085922241211,-2.609668731689453,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a gossip column.,column,column,It was a column gossip., gossip column, column gossip,gossip,True,-21.653804779052734,-22.02309799194336,0.369293212890625,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a sports column.,column,column,It was a column sports., sports column, column sports,sports,True,-21.97299575805664,-21.539947509765625,-0.4330482482910156,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a concrete column.,column,column,It was a column concrete., concrete column, column concrete,concrete,False,-22.73603630065918,-22.287784576416016,-0.44825172424316406,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He liked the investment company.,company,company,He liked the company investment., investment company, company investment,investment,True,-22.65032958984375,-22.16636848449707,-0.4839611053466797,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He liked the pharmaceutical company.,company,company,He liked the company pharmaceutical., pharmaceutical company, company pharmaceutical,pharmaceutical,False,-23.88037109375,-23.694128036499023,-0.18624305725097656,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He liked the pleasant company.,company,company,He liked the company pleasant., pleasant company, company pleasant,pleasant,False,-22.366544723510742,-21.754898071289062,-0.6116466522216797,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a waffle cone.,cone,cone,It was a cone waffle., waffle cone, cone waffle,waffle,True,-43.62677764892578,-44.72261047363281,1.0958328247070312,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a sugar cone.,cone,cone,It was a cone sugar., sugar cone, cone sugar,sugar,True,-21.964750289916992,-23.04668426513672,1.0819339752197266,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was an orange cone.,cone,cone,It was an cone orange., orange cone, cone orange,orange,False,-20.631206512451172,-22.12359046936035,1.4923839569091797,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He made a charitable contribution.,contribution,contribution,He made a contribution charitable., charitable contribution, contribution charitable,charitable,False,-22.155548095703125,-21.628477096557617,-0.5270709991455078,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He made a voluntary contribution.,contribution,contribution,He made a contribution voluntary., voluntary contribution, contribution voluntary,voluntary,False,-21.705154418945312,-21.87085723876953,0.16570281982421875,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
He made a scholarly contribution.,contribution,contribution,He made a contribution scholarly., scholarly contribution, contribution scholarly,scholarly,False,-20.128694534301758,-21.37789535522461,1.2492008209228516,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
That was the noble count.,count,count,That was the count noble., noble count, count noble,noble,False,-21.272708892822266,-20.879657745361328,-0.3930511474609375,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
That was the vengeful count.,count,count,That was the count vengeful., vengeful count, count vengeful,vengeful,False,-42.36457061767578,-41.915794372558594,-0.4487762451171875,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
That was the final count.,count,count,That was the count final., final count, count final,final,False,-20.25289535522461,-20.53590202331543,0.2830066680908203,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was an introductory course.,course,course,It was an course introductory., introductory course, course introductory,introductory,False,-22.04285430908203,-22.43851089477539,0.3956565856933594,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
It was a pass-fail course.,course,course,It was a course pass-fail., pass-fail course, course pass-fail,pass-fail,False,-44.8022346496582,-43.32904052734375,-1.4731941223144531,14067712,EleutherAI/pythia-14m,step8,seed4,4,8
