sentence,Head,Layer,Attention,n_params,mpath,revision,step
It was a desperate act.,0,0,0.24547114968299866,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,1,0,0.3239358365535736,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,2,0,0.2549562156200409,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,3,0,0.3666495382785797,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,0,1,0.287279337644577,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,1,1,0.3520733416080475,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,2,1,0.3580632507801056,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,3,1,0.1963586062192917,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,0,2,0.35465916991233826,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,1,2,0.6642434000968933,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,2,2,0.3774262070655823,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,3,2,0.24039781093597412,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,0,3,0.20205698907375336,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,1,3,0.17839978635311127,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,2,3,0.1422063559293747,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,3,3,0.1178254708647728,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,0,4,0.31171828508377075,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,1,4,0.20000837743282318,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,2,4,0.30743297934532166,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,3,4,0.21167777478694916,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,0,5,0.20000000298023224,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,1,5,0.20000000298023224,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,2,5,0.3251201808452606,14067712,EleutherAI/pythia-14m,step102000,102000
It was a desperate act.,3,5,0.20000000298023224,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,0,0,0.2275322675704956,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,1,0,0.28567928075790405,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,2,0,0.18562361598014832,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,3,0,0.3530672490596771,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,0,1,0.24438539147377014,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,1,1,0.3219723105430603,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,2,1,0.36008286476135254,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,3,1,0.13724863529205322,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,0,2,0.3101886510848999,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,1,2,0.7031094431877136,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,2,2,0.29870638251304626,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,3,2,0.2023414820432663,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,0,3,0.16733655333518982,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,1,3,0.15078480541706085,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,2,3,0.11851318180561066,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,3,3,0.09824751317501068,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,0,4,0.27171647548675537,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,1,4,0.16666655242443085,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,2,4,0.2518422305583954,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,3,4,0.2282070517539978,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,0,5,0.3333292305469513,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,1,5,0.1666666716337204,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,2,5,0.3316291272640228,14067712,EleutherAI/pythia-14m,step102000,102000
It was a humane act.,3,5,0.24479268491268158,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,0,0,0.29656440019607544,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,1,0,0.29905515909194946,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,2,0,0.19537165760993958,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,3,0,0.3535502552986145,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,0,1,0.2823815941810608,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,1,1,0.3814398944377899,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,2,1,0.3315465450286865,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,3,1,0.17362108826637268,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,0,2,0.2941685616970062,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,1,2,0.6768710017204285,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,2,2,0.36892595887184143,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,3,2,0.23844914138317108,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,0,3,0.20073886215686798,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,1,3,0.17861708998680115,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,2,3,0.14220686256885529,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,3,3,0.11782628297805786,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,0,4,0.3311938941478729,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,1,4,0.20015211403369904,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,2,4,0.28767210245132446,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,3,4,0.028979843482375145,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,0,5,0.20000997185707092,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,1,5,0.34863361716270447,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,2,5,0.39635470509529114,14067712,EleutherAI/pythia-14m,step102000,102000
It was a magic act.,3,5,0.4000000059604645,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,0,0,0.17682476341724396,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,1,0,0.34858885407447815,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,2,0,0.18979480862617493,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,3,0,0.3448936641216278,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,0,1,0.24540777504444122,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,1,1,0.33000418543815613,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,2,1,0.26739782094955444,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,3,1,0.13690213859081268,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,0,2,0.2988244593143463,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,1,2,0.6704198718070984,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,2,2,0.33041444420814514,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,3,2,0.22871766984462738,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,0,3,0.20104897022247314,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,1,3,0.20007121562957764,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,2,3,0.19997267425060272,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,3,3,0.1975223869085312,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,0,4,0.20059087872505188,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,1,4,0.20000000298023224,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,2,4,0.3217580020427704,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,3,4,0.14711448550224304,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,0,5,0.20000000298023224,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,1,5,0.19987374544143677,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,2,5,0.23751263320446014,14067712,EleutherAI/pythia-14m,step102000,102000
He had a universal appeal.,3,5,0.20000000298023224,14067712,EleutherAI/pythia-14m,step102000,102000
He had an undefinable appeal.,0,0,0.1468062847852707,14067712,EleutherAI/pythia-14m,step102000,102000
He had an undefinable appeal.,1,0,0.2633962631225586,14067712,EleutherAI/pythia-14m,step102000,102000
He had an undefinable appeal.,2,0,0.16314899921417236,14067712,EleutherAI/pythia-14m,step102000,102000
He had an undefinable appeal.,3,0,0.21058444678783417,14067712,EleutherAI/pythia-14m,step102000,102000
He had an undefinable appeal.,0,1,0.29377174377441406,14067712,EleutherAI/pythia-14m,step102000,102000
He had an undefinable appeal.,1,1,0.2873194217681885,14067712,EleutherAI/pythia-14m,step102000,102000
He had an undefinable appeal.,2,1,0.21643273532390594,14067712,EleutherAI/pythia-14m,step102000,102000
He had an undefinable appeal.,3,1,0.14251236617565155,14067712,EleutherAI/pythia-14m,step102000,102000
