sentence,Head,Layer,Attention,n_params,mpath,revision,step
It was a desperate act.,0,0,0.31357452273368835,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,1,0,0.3588005006313324,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,2,0,0.1935311108827591,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,3,0,0.3302516043186188,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,0,1,0.3315132260322571,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,1,1,0.3867031931877136,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,2,1,0.34122201800346375,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,3,1,0.12475400418043137,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,0,2,0.37153375148773193,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,1,2,0.6907954216003418,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,2,2,0.35717353224754333,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,3,2,0.2297317236661911,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,0,3,0.1577247679233551,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,1,3,0.23897552490234375,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,2,3,0.18436625599861145,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,3,3,0.19432678818702698,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,0,4,0.21557922661304474,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,1,4,0.17656780779361725,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,2,4,0.36348986625671387,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,3,4,0.2650151252746582,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,0,5,0.20000000298023224,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,1,5,0.20000000298023224,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,2,5,0.23465228080749512,14067712,EleutherAI/pythia-14m,step64000,64000
It was a desperate act.,3,5,0.20000003278255463,14067712,EleutherAI/pythia-14m,step64000,64000
It was a humane act.,0,0,0.23288428783416748,14067712,EleutherAI/pythia-14m,step64000,64000
It was a humane act.,1,0,0.25326991081237793,14067712,EleutherAI/pythia-14m,step64000,64000
