sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step,model_modification,layers_modified,heads_modified
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.027360618114471436,1,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04497271776199341,2,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04779738187789917,3,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0544506311416626,4,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05683034658432007,5,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.056778550148010254,6,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.058354973793029785,7,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05856454372406006,8,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06377577781677246,9,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06638097763061523,10,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06471234560012817,11,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06384110450744629,12,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06645673513412476,13,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06654614210128784,14,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06741398572921753,15,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06663870811462402,16,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06988024711608887,17,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06995028257369995,18,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06995469331741333,19,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07045292854309082,20,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06815922260284424,21,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06931716203689575,22,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06864678859710693,23,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06565088033676147,24,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03413134813308716,1,2.0,6,7,1,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.048766911029815674,2,2.0,6,7,1,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05245846509933472,3,2.0,6,7,1,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05295836925506592,4,2.0,6,7,1,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05473250150680542,5,2.0,6,7,1,405334016,EleutherAI/pythia-410m,step2,2,ablate_zero,[7],[8]
