sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step,model_modification,layers_modified,heads_modified
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0187678090913177,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.039469152489311154,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.23744566763319097,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05463627271071092,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.046509633939828654,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0011846551279971473,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.029349770963275068,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.058126945674215946,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.3163117305801544,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.062395787041329975,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.057486748317986947,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0020173506368712513,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.00561408803910024,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0329334479006651,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.2229747712211606,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.025138891429921872,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.021223145002147836,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0008668523648499571,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.014263422521785363,1,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.03357546129339162,2,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.21601811557737527,3,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.03312594950028758,4,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.02723961803871966,5,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0013422405079267508,6,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.0,0,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.01549919257183241,1,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.03578292904749336,2,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.1428316235880963,3,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.037802204271324746,4,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.03608456812035976,5,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.000910309370927842,6,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.0,0,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.014607045319449674,1,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.03286587162480992,2,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.1822653823162751,3,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.04137549737526147,4,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.033000301036344104,5,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.0015802191539666666,6,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.0,0,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.01244071349487863,1,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.012240226703366552,2,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.06914299191632967,3,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.03599038936287968,4,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.026302919589483276,5,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.0007137279713009814,6,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0,0,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0067698182294795295,1,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.018549942355731264,2,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.18569835038150417,3,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.038925786152978925,4,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.03983543655720834,5,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0015000358160391913,6,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.0,0,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.012265326791702447,1,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.027374364439385013,2,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step81000,81000,ablate_copy_step1,[2],[2]
