sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.021713361012049015,1,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02923772292246596,2,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03410439606066551,3,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03733441588959707,4,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03762836165315664,5,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03761074985912205,6,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.039158155374351966,7,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03853288246241304,8,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.036521571396292085,9,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.037088766869903256,10,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.037728223424771556,11,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.037529616670405,12,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step8,8
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step8,8
