sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04627656936645508,1,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0629625916481018,2,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07312917709350586,3,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08061569929122925,4,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08383959531784058,5,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08780187368392944,6,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08751511573791504,7,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08669912815093994,8,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08405148983001709,9,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08174639940261841,10,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08105665445327759,11,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07629221677780151,12,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07170224189758301,13,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06626075506210327,14,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06185251474380493,15,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05664801597595215,16,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05183231830596924,17,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04680246114730835,18,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.042375147342681885,19,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03851652145385742,20,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.034271299839019775,21,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.030817687511444092,22,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.027635157108306885,23,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02462857961654663,24,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02181798219680786,25,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.01955091953277588,26,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.01757943630218506,27,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.015725255012512207,28,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.014114141464233398,29,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.012678384780883789,30,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.011505961418151855,31,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.01044464111328125,32,2.181818182,6,6,0,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05681872367858887,1,2.0,6,7,1,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07809168100357056,2,2.0,6,7,1,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.09478724002838135,3,2.0,6,7,1,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.10613858699798584,4,2.0,6,7,1,6857302016,EleutherAI/pythia-6.9b,step128,128
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.11294108629226685,5,2.0,6,7,1,6857302016,EleutherAI/pythia-6.9b,step128,128
