sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,step
It was a desperate act.,act,act, desperate,0.005518740974366665,1.766288161277771,0,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.023123404011130333,1.7529670000076294,1,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.3133070766925812,1.7808666229248047,2,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.5492015480995178,1.77274489402771,3,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.13311395049095154,1.7245173454284668,0,1,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.3155421316623688,1.7860028743743896,1,1,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.0647842064499855,1.769644021987915,2,1,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,3.438203277639218e-09,1.738929033279419,3,1,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.37031516432762146,1.7758911848068237,0,2,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.7615823745727539,1.7437927722930908,1,2,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.18817265331745148,1.7850327491760254,2,2,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.09272371232509613,1.7649731636047363,3,2,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.0087739247828722,1.717807412147522,0,3,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,9.834855882218108e-05,1.6915218830108643,1,3,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,2.4576779722451647e-08,1.6940363645553589,2,3,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,1.5402720521251467e-07,1.6926276683807373,3,3,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.03865523636341095,1.7092084884643555,0,4,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.0028324387967586517,1.7236038446426392,1,4,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.31196334958076477,1.7856637239456177,2,4,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,1.0370209565735422e-05,1.6914072036743164,3,4,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,1.7211327306941582e-13,1.6914043426513672,0,5,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.04401865229010582,1.7029739618301392,1,5,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,0.0075763496570289135,1.696592092514038,2,5,14067712,EleutherAI/pythia-14m,step105000,105000
It was a desperate act.,act,act, desperate,4.1400940631319827e-07,1.6981408596038818,3,5,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.021581321954727173,1.9252407550811768,0,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.0038276840932667255,1.904288649559021,1,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.10402807593345642,1.9344112873077393,2,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.16699638962745667,1.9401613473892212,3,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.049348942935466766,1.8763914108276367,0,1,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.17983946204185486,1.9418542385101318,1,1,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.014601318165659904,1.9125497341156006,2,1,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,1.470694996896782e-07,1.8742820024490356,3,1,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.06981360912322998,1.9263155460357666,0,2,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.46558624505996704,1.887800693511963,1,2,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.10770256817340851,1.9381647109985352,2,2,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.012100550346076488,1.920776605606079,3,2,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.0020952895283699036,1.8790851831436157,0,3,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.0011312735732644796,1.8562450408935547,1,3,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.0006450065411627293,1.8597195148468018,2,3,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.0006173232686705887,1.856985330581665,3,3,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,5.799096106784418e-05,1.8825416564941406,0,4,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,2.163820789213844e-10,1.8545277118682861,1,4,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.13900035619735718,1.9416710138320923,2,4,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,1.6348789358744398e-05,1.8536536693572998,3,4,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,7.730660581728444e-05,1.8536696434020996,0,5,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,0.49902909994125366,1.854116439819336,1,5,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,1.9209384845453314e-05,1.8590693473815918,2,5,14067712,EleutherAI/pythia-14m,step105000,105000
It was a humane act.,act,act, humane,1.5473302639179565e-08,1.8597856760025024,3,5,14067712,EleutherAI/pythia-14m,step105000,105000
It was a magic act.,act,act, magic,0.009176390245556831,1.7665936946868896,0,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a magic act.,act,act, magic,0.00023170183703768998,1.7502145767211914,1,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a magic act.,act,act, magic,0.14529278874397278,1.7772619724273682,2,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a magic act.,act,act, magic,0.31834614276885986,1.7858073711395264,3,0,14067712,EleutherAI/pythia-14m,step105000,105000
It was a magic act.,act,act, magic,0.266082763671875,1.746868371963501,0,1,14067712,EleutherAI/pythia-14m,step105000,105000
It was a magic act.,act,act, magic,0.3651857078075409,1.783747911453247,1,1,14067712,EleutherAI/pythia-14m,step105000,105000
