sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,step
It was a desperate act.,act,act, desperate,0.008812827058136463,1.772559404373169,0,0,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.01697978749871254,1.7476770877838135,1,0,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.29479309916496277,1.774220585823059,2,0,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.32017818093299866,1.783125400543213,3,0,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.10804834216833115,1.720128059387207,0,1,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.4199002683162689,1.7820281982421875,1,1,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.0297007504850626,1.7696155309677124,2,1,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,2.4950222723418847e-06,1.7571361064910889,3,1,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.4825507402420044,1.7758402824401855,0,2,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.6740014553070068,1.7568567991256714,1,2,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.18839341402053833,1.7833986282348633,2,2,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.11795678734779358,1.7562553882598877,3,2,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.00393645977601409,1.7254730463027954,0,3,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.013520547188818455,1.7732515335083008,1,3,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,3.1868751193542266e-07,1.6914234161376953,2,3,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,2.3628865619684802e-06,1.691554307937622,3,3,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.4324977695941925,1.7624962329864502,0,4,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,7.438152351824101e-06,1.6956666707992554,1,4,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.3984944522380829,1.782530426979065,2,4,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.000570315052755177,1.6915606260299683,3,4,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,2.18624702546767e-33,1.6914043426513672,0,5,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,7.089033140786013e-16,1.6914043426513672,1,5,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,0.49890419840812683,1.776106357574463,2,5,14067712,EleutherAI/pythia-14m,step74000,74000
It was a desperate act.,act,act, desperate,2.70283730292864e-12,1.6914045810699463,3,5,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.009700021706521511,1.9279199838638306,0,0,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.003760488936677575,1.9009480476379395,1,0,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.03688893839716911,1.916403889656067,2,0,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.10195270925760269,1.940009593963623,3,0,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.021666957065463066,1.8642356395721436,0,1,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.21568207442760468,1.941063404083252,1,1,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.006226842757314444,1.919304370880127,2,1,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.00018250821449328214,1.908262014389038,3,1,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.1468214988708496,1.9377845525741577,0,2,14067712,EleutherAI/pythia-14m,step74000,74000
It was a humane act.,act,act, humane,0.4702039957046509,1.8903603553771973,1,2,14067712,EleutherAI/pythia-14m,step74000,74000
