sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act, desperate,0.1969018131494522,1.7847917079925537,0,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.08699971437454224,1.7263004779815674,1,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.08810015022754669,1.7814921140670776,2,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.3503475487232208,1.7841767072677612,3,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.15959705412387848,1.7340846061706543,0,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.23731783032417297,1.782720685005188,1,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.02300529181957245,1.7765719890594482,2,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.3174729347229004,1.7780927419662476,3,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.129960298538208,1.7842020988464355,0,2,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.001195607241243124,1.7785696983337402,1,2,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,2.531252505377779e-07,1.7596709728240967,2,2,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.42684799432754517,1.7773387432098389,3,2,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.07846343517303467,1.7821006774902344,0,3,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.6291795969009399,1.7628298997879028,1,3,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.2014874964952469,1.7891024351119995,2,3,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.6453858017921448,1.7602479457855225,3,3,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,9.122181654674932e-05,1.697455644607544,0,4,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.02043532393872738,1.7311279773712158,1,4,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.3359360694885254,1.7827932834625244,2,4,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,6.2544371758122e-05,1.6934089660644531,3,4,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.5197696685791016,1.7694683074951172,0,5,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,9.38895573199261e-06,1.7010293006896973,1,5,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.17688710987567902,1.7806025743484497,2,5,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a desperate act.,act,act, desperate,0.018044715747237206,1.7628343105316162,3,5,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.07348976284265518,1.9391804933547974,0,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.016148734837770462,1.8754216432571411,1,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.021323759108781815,1.933327078819275,2,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.1425185650587082,1.9393742084503174,3,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.01760636828839779,1.8653630018234253,0,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.09952594339847565,1.9372164011001587,1,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.005833213217556477,1.9299252033233643,2,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.23725101351737976,1.93085515499115,3,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.03893319144845009,1.9357385635375977,0,2,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.0020196293480694294,1.9344669580459595,1,2,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,2.4616536393295974e-05,1.9244740009307861,2,2,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.1440529078245163,1.932023048400879,3,2,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.0416521281003952,1.9334332942962646,0,3,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.39560848474502563,1.9174777269363403,1,3,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.10005952417850494,1.9427502155303955,2,3,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.4593096971511841,1.8867735862731934,3,3,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.0023663302417844534,1.8606085777282715,0,4,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.009824882261455059,1.8832287788391113,1,4,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.10766208916902542,1.9341529607772827,2,4,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.0021258180495351553,1.8563668727874756,3,4,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.18078213930130005,1.9350632429122925,0,5,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.000547340780030936,1.8704195022583008,1,5,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.018899284303188324,1.9225080013275146,2,5,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a humane act.,act,act, humane,0.012426543049514294,1.9160869121551514,3,5,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a magic act.,act,act, magic,0.06119420379400253,1.7807377576828003,0,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a magic act.,act,act, magic,0.0023317080922424793,1.7082806825637817,1,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a magic act.,act,act, magic,0.05065233260393143,1.779866099357605,2,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a magic act.,act,act, magic,0.2899797856807709,1.7853575944900513,3,0,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a magic act.,act,act, magic,0.020342085510492325,1.7053492069244385,0,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a magic act.,act,act, magic,0.6409711837768555,1.7619500160217285,1,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
It was a magic act.,act,act, magic,0.009986849501729012,1.7756798267364502,2,1,14067712,EleutherAI/pythia-14m,step48000,seed3,3,48000
