sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act, desperate,0.47535744309425354,1.7762694358825684,0,0,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.17638853192329407,1.77205228805542,1,0,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.26153063774108887,1.7879934310913086,2,0,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.03844534978270531,1.7768784761428833,3,0,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.007396189030259848,1.7693427801132202,0,1,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.0002119579294230789,1.773123025894165,1,1,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.6081060171127319,1.766756534576416,2,1,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.0813039243221283,1.7852221727371216,3,1,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.298944890499115,1.7811293601989746,0,2,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.08359385281801224,1.7837743759155273,1,2,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.6087614893913269,1.7639973163604736,2,2,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.37195056676864624,1.7745556831359863,3,2,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.2043778896331787,1.7888219356536865,0,3,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.8851064443588257,1.7198823690414429,1,3,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.2411697655916214,1.7811369895935059,2,3,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.34641897678375244,1.784898042678833,3,3,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,2.0016379949083785e-06,1.7586336135864258,0,4,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.1901930719614029,1.7873985767364502,1,4,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,3.4405641144985566e-06,1.7616593837738037,2,4,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.02405022829771042,1.7763760089874268,3,4,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
It was a desperate act.,act,act, desperate,0.07918072491884232,1.7701776027679443,0,5,14067712,EleutherAI/pythia-14m,step10000,seed6,6,10000
