"","sentence","word","string","disambiguating_word","mpath","revision","seed_name","seed","step","0_1","1_1","2_1","3_1","0_2","1_2","2_2","3_2","0_3","1_3","2_3","3_3","0_4","1_4","2_4","3_4","0_5","1_5","2_5","3_5","0_6","1_6","2_6","3_6"
"1","It was a desperate act.","act","act","desperate","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0656697750091553,0.589752852916718,0.0008477012743242,0.203445807099342,0.112133964896202,0.0668956562876701,2.59555326920236e-05,0.0613533593714237,0.883237838745117,0.518379390239716,0.192369684576988,0.0790049657225609,6.2320424376594e-07,0.139372482895851,0.00059664365835487,0.245172828435898,0.00040905413334257,5.72698627365753e-06,1.50254066966227e-07,3.50670743500814e-05,3.45415560332185e-06,0.0766676887869835,1.20889534493962e-10,1.15719220199627e-19
"2","It was a humane act.","act","act","humane","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.016745762899518,0.122108086943626,0.00051445403369143,0.0455935895442963,0.174284428358078,0.0196116995066404,0.00282404338940978,0.0309954546391964,0.479358464479446,0.156143128871918,0.131883785128593,0.0338176265358925,2.86862871234916e-07,0.0404276847839355,0.00411006622016429,0.116302855312824,0.00146566692274063,4.11448191073305e-08,1.4679096160819e-08,0.00087658216943964,1.90992572868254e-08,0.499646753072739,0.00108180486131459,2.36866846137218e-08
"3","It was a magic act.","act","act","magic","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0205871239304543,0.303193956613541,0.0002320348721696,0.109157085418701,0.128527417778969,0.0489388965070248,1.08621088656946e-05,0.0474707745015621,0.872479736804962,0.327408403158188,0.217533603310585,0.0299135092645883,6.145671250124e-06,0.10262393206358,0.00262454897165298,0.170609980821609,0.002157480455935,3.92782158087357e-06,5.4241189673121e-07,8.39264175738208e-05,4.71444691356737e-05,0.00849652104079723,0.0445815101265907,3.80668630298175e-12
"4","He had a universal appeal.","appeal","appeal","universal","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0488275550305843,0.147049278020859,0.0158310737460852,0.0355846509337425,0.264766365289688,0.0655749589204788,4.87801480630878e-05,0.0616853944957256,0.890243351459503,0.211409121751785,0.234102293848991,0.0555167719721794,9.33674527914263e-06,0.0452743917703628,2.55325812759111e-06,0.167906120419502,0.00045666986261494,1.0004528455676e-10,6.39475939648998e-13,6.82625000081316e-07,2.12154849243973e-10,0.148676335811615,1.84928521148854e-16,1.6014744687709e-05
"5","He had an undefinable appeal.","appeal","appeal","undefinable","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0436834804713726,0.0703407526016235,0.0205639451742172,0.00566235091537237,0.1173185557127,0.0495962761342525,0.00026700270245783,0.00711388327181339,0.326134622097015,0.0564258508384228,0.154842853546143,0.0370548218488693,5.19932086717745e-07,0.0306925233453512,0.00024198973551392,0.0435886606574059,3.45743865182158e-05,1.22518128975457e-08,4.72752226254869e-10,2.30305868171854e-05,1.67253944027834e-09,0.0488929003477096,1.25253626914734e-10,3.61288186867537e-11
"6","He had a legal appeal.","appeal","appeal","legal","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0409223698079586,0.41437354683876,0.00163623446132987,0.325738072395325,0.111955262720585,0.0167139507830143,3.36191931182839e-07,0.0303284525871277,0.86773818731308,0.308899253606796,0.199920639395714,0.0445940308272839,7.86677958330984e-08,0.0584351010620594,5.58778219783562e-06,0.121670953929424,0.00583610637113452,3.50561579764985e-10,3.48069251372707e-12,2.45956499611566e-07,5.54723156298564e-10,0.00080250954488292,3.79448843392416e-16,2.30783534643786e-12
"7","It was a tense atmosphere.","atmosphere","atmosphere","tense","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0324072986841202,0.173000320792198,0.00241915159858763,0.257742434740067,0.243328928947449,0.0671370923519135,1.76208743596362e-06,0.0919286906719208,0.895856440067291,0.639665007591248,0.219379141926765,0.10753371566534,7.36423885427939e-07,0.12058013677597,0.00013607268920168,0.191681206226349,0.125227674841881,3.35521121996862e-08,8.17949374898319e-10,0.00528037548065185,0.00046981539344415,0.0012841805582866,1.71595644360423e-07,2.79414967725711e-12
"8","It was a hostile atmosphere.","atmosphere","atmosphere","hostile","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0052596335299313,0.377734690904617,0.0102776940912008,0.0353818163275719,0.280098110437393,0.052014097571373,4.10050452046562e-05,0.143104463815689,0.909886479377747,0.749957025051117,0.217009723186493,0.0402494892477989,2.10839925784967e-06,0.094885341823101,0.0003444220055826,0.16670449078083,0.031332865357399,2.18956164310669e-09,1.68526512189793e-10,2.14741867239354e-05,3.76863204110123e-06,0.00092864775797352,2.38737811741885e-06,1.77006675288161e-17
"9","It was a gaseous atmosphere.","atmosphere","atmosphere","gaseous","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00572555186226964,0.57768189907074,0.00125258287880569,0.84793496131897,0.154929742217064,0.171231970191002,0.00021404349536169,0.0663414746522903,0.932711958885193,0.68756514787674,0.238623857498169,0.0477339178323746,0.00220596976578235,0.121037773787975,0.00014559102419298,0.241938680410385,0.403013557195663,4.99628560746146e-09,3.4529812342754e-10,4.73368163511623e-06,6.01757392360014e-07,8.66439222590998e-06,0.143187686800957,4.75580296716034e-18
"10","It was a gold band.","band","band","gold","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0124577637761831,0.459432512521744,8.40386710478924e-05,0.0427384376525879,0.0611129812896252,0.116588436067104,3.01198069792008e-05,0.0271342657506466,0.914184093475342,0.313108623027802,0.18594653904438,0.0154081946238875,1.68198823757848e-06,0.0381180197000503,0.00025985206593759,0.0612646527588367,0.0877353027462959,3.35128724771039e-08,2.28144680924913e-09,1.01972655102145e-05,6.87955389366834e-06,3.9538440432807e-06,0.0153063563629985,4.21340445985654e-15
