sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act, desperate,0.5068115592002869,1.7746379375457764,0,0,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.14399755001068115,1.7674496173858643,1,0,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.2357788234949112,1.787772536277771,2,0,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.048739299178123474,1.7765709161758423,3,0,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.005538181867450476,1.7664680480957031,0,1,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,5.4542186262551695e-05,1.774106502532959,1,1,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.4861885607242584,1.778328776359558,2,1,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.14591504633426666,1.7879658937454224,3,1,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.24834078550338745,1.7809011936187744,0,2,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.07929787039756775,1.7828412055969238,1,2,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.6004271507263184,1.765055537223816,2,2,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.2863256633281708,1.769376516342163,3,2,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.22464105486869812,1.7890164852142334,0,3,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.8393216729164124,1.7295758724212646,1,3,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.17688347399234772,1.779587984085083,2,3,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.31797659397125244,1.7856025695800781,3,3,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,1.8101760588251636e-06,1.7478364706039429,0,4,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.20901808142662048,1.7881040573120117,1,4,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,2.7029802822653437e-06,1.751433253288269,2,4,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.024091871455311775,1.776146411895752,3,4,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.057021915912628174,1.7524402141571045,0,5,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.03606851398944855,1.7686419486999512,1,5,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
It was a desperate act.,act,act, desperate,0.02306119166314602,1.7292022705078125,2,5,14067712,EleutherAI/pythia-14m,step11000,seed6,6,11000
