sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act, desperate,0.06792783737182617,1.7819174528121948,0,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.00016094690363388509,1.7610244750976562,1,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.542522132396698,1.769864559173584,2,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.08604738116264343,1.7541038990020752,3,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.32542699575424194,1.7853610515594482,0,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,6.730434733981383e-07,1.7437784671783447,1,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.03488598018884659,1.7007606029510498,2,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.059201035648584366,1.775875210762024,3,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.8103569746017456,1.7351537942886353,0,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.3546845316886902,1.7812957763671875,1,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.1070295199751854,1.7754795551300049,2,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.11987216770648956,1.7870981693267822,3,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.0431329682469368,1.746968388557434,0,3,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.008336367085576057,1.708571434020996,1,3,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,1.5931259866874825e-08,1.6914116144180298,2,3,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.19383591413497925,1.7673312425613403,3,3,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.08241724222898483,1.7825288772583008,0,4,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,5.369617096993837e-19,1.6914043426513672,1,4,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,3.708803229807156e-12,1.6914043426513672,2,4,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,2.4390309616414345e-25,1.6914043426513672,3,4,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,8.594830656048604e-21,1.6914043426513672,0,5,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.07219434529542923,1.7289493083953857,1,5,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,1.2412759708979593e-10,1.7116538286209106,2,5,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a desperate act.,act,act, desperate,0.004557223059237003,1.717294454574585,3,5,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.041989751160144806,1.9359877109527588,0,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,2.2042156615498243e-06,1.9070465564727783,1,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.04417712241411209,1.9194936752319336,2,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.03449660539627075,1.9172152280807495,3,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.17662787437438965,1.9411656856536865,0,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.002694176509976387,1.9036474227905273,1,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.0002094858791679144,1.8540222644805908,2,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.0489068441092968,1.9327902793884277,3,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.48147666454315186,1.8840320110321045,0,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.12036625295877457,1.9352154731750488,1,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.032610077410936356,1.9312227964401245,2,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.11861420422792435,1.9432939291000366,3,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.05672714114189148,1.9015724658966064,0,3,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.043613310903310776,1.8896442651748657,1,3,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.0008226346108131111,1.8540438413619995,2,3,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.05599566921591759,1.9118099212646484,3,3,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.025118857622146606,1.9300323724746704,0,4,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,4.5475914589587774e-08,1.8536312580108643,1,4,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,4.3410993384895846e-05,1.8536536693572998,2,4,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,6.337761426777888e-09,1.8536312580108643,3,4,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,8.665263635521114e-07,1.8536317348480225,0,5,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.0047031608410179615,1.8708641529083252,1,5,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.08840282261371613,1.9234720468521118,2,5,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a humane act.,act,act, humane,0.32356852293014526,1.9129170179367065,3,5,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,0.0475715771317482,1.7810451984405518,0,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,2.0177437818347244e-06,1.7610093355178833,1,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,0.23724693059921265,1.7743992805480957,2,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,0.01623576134443283,1.7452086210250854,3,0,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,0.3033297061920166,1.7850875854492188,0,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,3.4778619806274946e-07,1.7499943971633911,1,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,0.004044364672154188,1.6926347017288208,2,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,0.06059282645583153,1.7767781019210815,3,1,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,0.912979781627655,1.7135155200958252,0,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,0.3083299696445465,1.7810150384902954,1,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
It was a magic act.,act,act, magic,0.06908728182315826,1.7769455909729004,2,2,14067712,EleutherAI/pythia-14m,step122000,seed2,2,122000
