sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act, desperate,0.22066211700439453,1.7873718738555908,0,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.1370181143283844,1.7464525699615479,1,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.03843303769826889,1.7786636352539062,2,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.28788620233535767,1.7833127975463867,3,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.15304824709892273,1.734546422958374,0,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.5315558314323425,1.7734729051589966,1,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.012765057384967804,1.775431752204895,2,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.30323296785354614,1.7787163257598877,3,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.12353954464197159,1.7836174964904785,0,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.0005784116801805794,1.776418924331665,1,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,2.3717589670013695e-08,1.7599691152572632,2,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.3889266550540924,1.777638554573059,3,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.050465621054172516,1.7718467712402344,0,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.635948121547699,1.7621121406555176,1,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.24931231141090393,1.7888851165771484,2,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.6130872368812561,1.7627860307693481,3,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,1.9528073380570277e-08,1.7501420974731445,0,4,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.0031034143175929785,1.7576868534088135,1,4,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.17255298793315887,1.7841604948043823,2,4,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,8.595931831223425e-06,1.7483344078063965,3,4,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.21687224507331848,1.7774921655654907,0,5,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,3.9658766533103604e-21,1.6914043426513672,1,5,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.11343754082918167,1.7727919816970825,2,5,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a desperate act.,act,act, desperate,0.011064356192946434,1.751029133796692,3,5,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.07851725816726685,1.941071629524231,0,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.014373863115906715,1.8895339965820312,1,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.01711852289736271,1.9328670501708984,2,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.13488322496414185,1.9367177486419678,3,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.009361855685710907,1.8625192642211914,0,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.13995061814785004,1.9397988319396973,1,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.013027396984398365,1.9295620918273926,2,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.21467071771621704,1.933591365814209,3,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.029680881649255753,1.9344770908355713,0,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.0013289914932101965,1.9339797496795654,1,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,1.138996594818309e-05,1.925496220588684,2,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.14740940928459167,1.9340083599090576,3,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.04208148270845413,1.9231644868850708,0,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.4133005440235138,1.9143034219741821,1,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.11468388140201569,1.9434237480163574,2,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.42824363708496094,1.8963770866394043,3,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,1.8126169379684143e-05,1.9138967990875244,0,4,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.004960757680237293,1.9146735668182373,1,4,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.0870937705039978,1.9383035898208618,2,4,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.0005239146994426847,1.9079899787902832,3,4,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.08985557407140732,1.9328242540359497,0,5,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,3.311302512569447e-14,1.8536312580108643,1,5,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.06379612535238266,1.9276936054229736,2,5,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a humane act.,act,act, humane,0.011203090660274029,1.9044218063354492,3,5,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.036413680762052536,1.7834913730621338,0,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.004236565437167883,1.7246869802474976,1,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.02906116284430027,1.7781751155853271,2,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.2870105504989624,1.7833157777786255,3,0,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.021563107147812843,1.7096192836761475,0,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.7034043669700623,1.7536792755126953,1,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.006341575179249048,1.7752106189727783,2,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.45774564146995544,1.7758673429489136,3,1,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.07090122997760773,1.7823493480682373,0,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.0062570516020059586,1.7793104648590088,1,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,1.5632351278327405e-05,1.7729575634002686,2,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.2786814868450165,1.7769510746002197,3,2,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.06601456552743912,1.7754929065704346,0,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.6799497604370117,1.7567070722579956,1,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.2414277195930481,1.7878838777542114,2,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
It was a magic act.,act,act, magic,0.8482897281646729,1.7275643348693848,3,3,14067712,EleutherAI/pythia-14m,step60000,seed3,3,60000
