sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,1.5935887498486068e-08,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.004898966292374296,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04161722416666136,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.025688300283938315,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.11319793372098119,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.10600913123964739,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05222001892228889,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,1.5935887498486068e-08,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.024175425662614103,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.053207665286811756,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.030907808667125725,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.16754278879899032,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.15398959709984883,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06784154507832685,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a magic act.,act,act,Different Sense,1.5935887498486068e-08,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0060076665771569004,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.021966424029315923,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.01650920251721577,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.1262782537366025,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.11502425343917266,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.026044297962925733,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a comedic act.,act,act,Different Sense,1.5935887498486068e-08,0,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.012297632129565916,1,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.02765838052564107,2,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.025771054427130013,3,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.18710482756690372,4,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.16296745018097125,5,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step53000,seed4,4,53000
