sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.018910421952237355,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.030415345514304915,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06753303580785552,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.15629349874792942,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07682832723311095,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.013952120344670305,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.031987735468242184,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0474689499434815,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.08747578625482044,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.14928291631496027,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.08629185411820495,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.015738106525183593,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step54000,seed6,6,54000
