sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.01058904015226736,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.018667945385869578,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.13439361286100138,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09333943665702049,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05073761252761044,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04022370266924724,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0173548836588574,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.02602638543427571,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.2087833148670627,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.08240062502858192,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.045001655538165264,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04055031963756883,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.009561590684319277,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.012596614982638421,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.12984927947989122,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.033389751263749434,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.01789651084297883,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.01442269987140532,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.018371194208117392,1,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.009691400399925887,2,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.14898342933676,3,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.014734609722176328,4,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.011247251385918977,5,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.008890427220385355,6,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.0,0,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.02811357154431804,1,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.017110152828101688,2,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.1341735421104785,3,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.09056740415247844,4,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step51000,seed9,9,51000
