sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05548167039654428,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05305709309933648,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.23465907388034957,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08167203218414609,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05320906545011217,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.00036268608944667324,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05672918441868646,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05968086426987129,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.24149364205145574,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07367322575269264,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04592300131905036,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.00032456676573211496,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.005889142609449727,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.007775940952802096,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step101000,seed5,5,101000
