sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,7.4162681551470655e-09,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.010396133322182144,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04892421537428604,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0507931067239068,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.19657755154690748,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06424671572941354,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09802303040812999,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,7.4162681551470655e-09,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0166183826174906,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.050237873987723614,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0514282256105576,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.23921745010724005,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06810019789745314,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.11576806312350119,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a humane act.,It was a magic act.,act,act,Different Sense,7.4162681551470655e-09,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0021491811760734336,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step26000,seed3,3,26000
