sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,3.3244097474849355e-09,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.004393481947462363,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.024759992077915127,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04355448716326893,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09794431951611837,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09895180143214266,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0002698333406365716,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,3.3244097474849355e-09,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.004628450402297757,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.018082252263362353,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05239126580679254,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.16714108661743265,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.13485521066939832,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0001986315946620465,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a magic act.,act,act,Different Sense,3.3244097474849355e-09,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0033514384234982764,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.011780448153174805,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.01999399926468881,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.13754321102310152,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.07033405597059472,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.00012094857430855477,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a comedic act.,act,act,Different Sense,3.3244097474849355e-09,0,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0011329894205471813,1,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.003607075550195682,2,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.01736344101923548,3,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.12793855267150722,4,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.058606707601103314,5,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a humane act.,It was a comedic act.,act,act,Different Sense,4.370066145586993e-05,6,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a humane act.,act,act,Same Sense,3.3244097474849355e-09,0,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.0029150014397445467,1,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.01611705317175749,2,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.03352456988613606,3,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step141000,seed8,8,141000
