word,sentence,disambiguating_word,string,mod_np,non_adjective,reversed_mod_np,reversed_sentence,revesred_and_modified_sentence,reversed_and_modified_sentence
act,It was a desperate act.,desperate,act,desperate act,False,act desperate,It was a act desperate.,It was an act desperate.,It was an act desperate.
act,It was a humane act.,humane,act,humane act,False,act humane,It was a act humane.,It was an act humane.,It was an act humane.
act,It was a magic act.,magic,act,magic act,False,act magic,It was a act magic.,It was an act magic.,It was an act magic.
appeal,He had a universal appeal.,universal,appeal,universal appeal,False,appeal universal,He had a appeal universal.,He had an appeal universal.,He had an appeal universal.
appeal,He had an undefinable appeal.,undefinable,appeal,undefinable appeal,False,appeal undefinable,He had an appeal undefinable.,He had an appeal undefinable.,He had an appeal undefinable.
appeal,He had a legal appeal.,legal,appeal,legal appeal,False,appeal legal,He had a appeal legal.,He had an appeal legal.,He had an appeal legal.
atmosphere,It was a tense atmosphere.,tense,atmosphere,tense atmosphere,False,atmosphere tense,It was a atmosphere tense.,It was an atmosphere tense.,It was an atmosphere tense.
atmosphere,It was a hostile atmosphere.,hostile,atmosphere,hostile atmosphere,False,atmosphere hostile,It was a atmosphere hostile.,It was an atmosphere hostile.,It was an atmosphere hostile.
atmosphere,It was a gaseous atmosphere.,gaseous,atmosphere,gaseous atmosphere,False,atmosphere gaseous,It was a atmosphere gaseous.,It was an atmosphere gaseous.,It was an atmosphere gaseous.
band,It was a gold band.,gold,band,gold band,True,band gold,It was a band gold.,It was a band gold.,It was a band gold.
band,It was a rubber band.,rubber,band,rubber band,True,band rubber,It was a band rubber.,It was a band rubber.,It was a band rubber.
band,It was a jazz band.,jazz,band,jazz band,True,band jazz,It was a band jazz.,It was a band jazz.,It was a band jazz.
barrier,There was a police barrier.,police,barrier,police barrier,True,barrier police,There was a barrier police.,There was a barrier police.,There was a barrier police.
barrier,There was a concrete barrier.,concrete,barrier,concrete barrier,False,barrier concrete,There was a barrier concrete.,There was a barrier concrete.,There was a barrier concrete.
barrier,There was a language barrier.,language,barrier,language barrier,True,barrier language,There was a barrier language.,There was a barrier language.,There was a barrier language.
bat,He saw a furry bat.,furry,bat,furry bat,False,bat furry,He saw a bat furry.,He saw a bat furry.,He saw a bat furry.
bat,He saw a fruit bat.,fruit,bat,fruit bat,True,bat fruit,He saw a bat fruit.,He saw a bat fruit.,He saw a bat fruit.
bat,He saw a wooden bat.,wooden,bat,wooden bat,False,bat wooden,He saw a bat wooden.,He saw a bat wooden.,He saw a bat wooden.
beam,He saw the laser beam.,laser,beam,laser beam,True,beam laser,He saw the beam laser.,He saw the beam laser.,He saw the beam laser.
beam,He saw the bright beam.,bright,beam,bright beam,False,beam bright,He saw the beam bright.,He saw the beam bright.,He saw the beam bright.
beam,He saw the wood beam.,wood,beam,wood beam,True,beam wood,He saw the beam wood.,He saw the beam wood.,He saw the beam wood.
block,She had a toy block.,toy,block,toy block,True,block toy,She had a block toy.,She had a block toy.,She had a block toy.
block,She had a wooden block.,wooden,block,wooden block,False,block wooden,She had a block wooden.,She had a block wooden.,She had a block wooden.
block,She had a mental block.,mental,block,mental block,False,block mental,She had a block mental.,She had a block mental.,She had a block mental.
blood,He has coagulated blood.,coagulated,blood,coagulated blood,True,blood coagulated,He has blood coagulated.,He has blood coagulated.,He has blood coagulated.
blood,He has thin blood.,thin,blood,thin blood,False,blood thin,He has blood thin.,He has blood thin.,He has blood thin.
blood,He has noble blood.,noble,blood,noble blood,False,blood noble,He has blood noble.,He has blood noble.,He has blood noble.
board,It was the ironing board.,ironing,board,ironing board,False,board ironing,It was the board ironing.,It was the board ironing.,It was the board ironing.
board,It was the wooden board.,wooden,board,wooden board,False,board wooden,It was the board wooden.,It was the board wooden.,It was the board wooden.
